Step,RT-3dB-no_cst,RT-3dB-org,RT-3dB-no_pl,EB-3dB-no_pl,DD-3dB-no_pl,DD-3dB-upd,DD-3dB-no_nm,DD-3dB-no_cst,DD-3dB-org,EB-3dB-upd,EB-3dB-no_nm,EB-3dB-no_cst,EB-3dB-org,RT-3dB-upd,RT-3dB-no_nm
1,9.378685507774353,9.314511477947235,0,0,0,0.990243403,8.386082487106323,9.568909099,9.539240377,1.0310154663026334,8.159239459,9.491731295585632,9.445646486282348,0.8572320310771465,8.02701071
2,10.610356907844544,10.603423190116883,0,0,0,0.46358817905187605,7.5633668398857115,10.907988436222077,10.722662961483001,0.4302663372829556,7.511769061088562,10.642245109081268,10.62963907957077,0.3774998081661761,7.459122782
3,10.514352860450744,10.563542399406433,0,0,0,0.31545757422223686,7.316605334281921,11.077677042484284,10.873342847824096,0.27955236934125427,7.251253442764282,10.698624708652495,10.679790160655974,0.2362935975473374,7.233363218307495
4,10.23598031759262,10.412357387542723,0,0,0,0.29331368614919484,7.171964106559753,11.031392645835876,10.868620100021362,0.3087379839667119,7.156447963714601,10.541192970275878,10.580029544830321,0.23715483458712697,7.150781197547913
5,10.046505432128907,10.269628443717957,0,0,0,0.329326914,7.1357557654380805,10.933418622016907,10.795636920928956,0.25857196416240186,7.093664629459381,10.280259366035462,10.403097915649415,0.272046678,7.091170823574067
6,9.950511820316315,10.115801737308502,0,0,0,0.2988935326784849,7.095314211845398,10.799862058162688,10.747809846401214,0.2711820038501173,7.035974390506744,10.137210640907288,10.289672722816467,0.2531075105816126,7.018293924331664
7,9.876359076,10.034882440567017,0,0,0,0.29026236438192426,7.059778587818146,10.69890071630478,10.670896866321563,0.26081148806202686,7.016707897186279,10.05197116136551,10.256825742721558,0.24963322195922957,6.968060362
8,9.811131952,9.961056134700776,0,0,0,0.2765216494584456,7.034003863334656,10.588750805854797,10.641684882640838,0.2463611662085168,6.987436046600341,10.014255068302154,10.185597059726716,0.21432153078261765,6.920396430492401
9,9.810574756,9.90479295,0,0,0,0.25347562618087977,7.0170483398437495,10.533606407642363,10.54594087600708,0.23434161524521188,6.9700325798988345,9.947122426,10.141952877044677,0.218465362,6.887682046890259
10,9.796388957500458,9.852908411026002,0,0,0,0.249399526,7.001388237476348,10.42920378923416,10.504331231117249,0.2260976028617006,6.953176293373107,9.873755271434783,10.067438657283782,0.21390411579748614,6.857671880722046
11,9.758157279491424,9.817084310054778,0,0,0,0.28606488847755823,6.982768497467042,10.370928931236268,10.439419512748719,0.23101449037436395,6.952608492374421,9.883484518527986,10.042393460273741,0.21055687356769337,6.826066062450408
12,9.741541357040404,9.794218311309814,0,0,0,0.27297632781555875,6.974574065208435,10.279788730144501,10.450543756484985,0.21445014626893683,6.923160755634308,9.852450287342071,9.996369431,0.1828004164720187,6.794130532741546
13,9.718935749530793,9.732216312885285,0,0,0,0.24426327934488654,6.962290587425232,10.244752464294434,10.342003707885743,0.23392074985080397,6.895847125053406,9.828231384754181,9.983852455615997,0.1866161869413918,6.765783932209015
14,9.729141819477082,9.735493211746215,0,0,0,0.24972177220042796,6.952134301662445,10.18854213476181,10.334919381141662,0.20348796871199737,6.874000856876374,9.797178089618683,9.946227569580078,0.17889231516630388,6.745083100795746
15,9.713390519618988,9.687737429141999,0,0,0,0.24798748673696536,6.942986950874329,10.107437586784362,10.296919524669647,0.22987072739633735,6.855213139,9.784223284721374,9.899487750530243,0.191624143,6.757202796936035
16,9.725206260681151,9.724342529773713,0,0,0,0.2543450917478185,6.935536532402038,10.138595986366273,10.267500290870666,0.2444425846100785,6.831449170112609,9.783459246,9.878743302822112,0.18633084645029158,6.727303521633147
17,9.708865020275116,9.682064487934113,0,0,0,0.2688513080799021,6.923395197,10.14612895488739,10.277445192337035,0.21044456449570134,6.816638782024384,9.772036695480345,9.878488097190857,0.20930910104652867,6.698809030055999
18,9.674148983955384,9.669737174510956,0,0,0,0.24607833212590777,6.923966412544251,10.130079255104064,10.22232599258423,0.21012758196506184,6.810049562454223,9.767005109786988,9.850073544979097,0.18050246853468707,6.693529386520386
19,9.666006541252138,9.643854496479035,0,0,0,0.24000144649849975,6.914058790206909,10.04619964838028,10.169092798233033,0.18180708923580824,6.790314991474151,9.761400184631349,9.817763166427612,0.17785104829876217,6.678275265693665
20,9.697234023,9.634598112106323,0,0,0,0.24356925020867495,6.9132571482658385,10.036239955425263,10.166350903511047,0.23886934759066208,6.771973133087158,9.826382842063904,9.802168018817902,0.19942906776384914,6.672191412448883
21,,,0,0,0,,,,,,,,,,
22,,,0,0,0,,,,,,,,,,
23,,,0,0,0,,,,,,,,,,
24,,,0,0,0,,,,,,,,,,
25,,,0,0,0,,,,,,,,,,
26,,,0,0,0,,,,,,,,,,
27,,,0,0,0,,,,,,,,,,
28,,,0,0,0,,,,,,,,,,
29,,,0,0,0,,,,,,,,,,
30,,,0,0,0,,,,,,,,,,
31,,,0,0,0,,,,,,,,,,
32,,,0,0,0,,,,,,,,,,
33,,,0,0,0,,,,,,,,,,
34,,,0,0,0,,,,,,,,,,
35,,,0,0,0,,,,,,,,,,
36,,,0,0,0,,,,,,,,,,
37,,,0,0,0,,,,,,,,,,
38,,,0,0,0,,,,,,,,,,
39,,,0,0,0,,,,,,,,,,
40,,,0,0,0,,,,,,,,,,
41,,,0,0,0,,,,,,,,,,
42,,,0,0,0,,,,,,,,,,
43,,,0,0,0,,,,,,,,,,
44,,,0,0,0,,,,,,,,,,
45,,,0,0,0,,,,,,,,,,
46,,,0,0,0,,,,,,,,,,
47,,,0,0,0,,,,,,,,,,
48,,,0,0,0,,,,,,,,,,
49,,,0,0,0,,,,,,,,,,
50,,,0,0,0,,,,,,,,,,
