Step,RT-10dB-upd,RT-10dB-no_nm,RT-10dB-no_cst,RT-10dB-no_pl,RT-10dB-org,EB-10dB-org,DD-10dB-org,DD-10dB-upd,DD-10dB-no_nm,DD-10dB-no_cst,DD-10dB-no_pl,EB-10dB-upd,EB-10dB-no_nm,EB-10dB-no_cst,EB-10dB-no_pl
1,88.82,34.9,86.65,87.64999999999999,87.06,85.65,83.88,85.42999999999999,41.64,83.67,84.77,87.47,33.76,84.8,86.6
2,91.86,11.42,90.81,92.27,92.09,90.05,88.58,89.71000000000001,15.39,89.1,90.06,90.44,14.940000000000001,88.14,90.32
3,93.44,8.559999999999999,88.86,93.55,91.74,91.02,90.83,90.63,12.809999999999999,90.22,90.48,90.94,12.61,88.03,91.25999999999999
4,94.27,10.39,87.85,94.46,92.07,91.14999999999999,90.86999999999999,91.17,12.67,91.08000000000001,91.05,91.5,10.01,89.03,92.49000000000001
5,94.42,7.920000000000001,88.33,94.24,93.07,91.29,91.28,91.9,12.590000000000002,91.19,92.30000000000001,92.55,9.91,88.97,92.41
6,94.54,10.209999999999999,87.96000000000001,94.71000000000001,92.86999999999999,91.47,91.71000000000001,92.21000000000001,12.04,91.44,92.03,92.54,9.86,86.95,92.82000000000001
7,94.69,8.690000000000001,89.25999999999999,94.48,93.06,91.89,92.08,93.22,11.62,92.10000000000001,92.29,91.89,9.83,89.23,93.8
8,94.36,9.71,90.64999999999999,94.22,92.92,92.06,91.99000000000001,92.02,11.16,91.61,92.45,92.05,9.629999999999999,88.96,93.28
9,94.39,9.17,88.72,94.78,92.93,92.29,92.14,92.92,10.76,91.95,93.53,92.19000000000001,9.54,89.12,93.46
10,95.15,9.66,90.84,95.23,93.44,93.06,91.63,91.97999999999999,10.549999999999999,92.58,93.28999999999999,92.36,9.53,90.96,93.84
11,94.58,9.35,90.72,95.33,93.35,93.22,92.85,92.41,10.82,92.14,93.13,92.65,9.370000000000001,89.19,93.55
12,95.14,9.4,88.88000000000001,95.66,93.44,93.44,92.80000000000001,92.60000000000001,10.71,91.46,93.38,93.45,9.59,90.57,93.95
13,95.23,9.58,90.01,95.22,93.52000000000001,93.58999999999999,92.60000000000001,92.27,10.23,91.62,93.17,93.78999999999999,9.34,90.42,94.39
14,95.35,9.65,89.59,96.02000000000001,93.57,93.60000000000001,92.69,93.37,10.59,91.79,93.5,93.28999999999999,9.36,90.75999999999999,93.89999999999999
15,95.33,9.68,89.73,95.89,93.78,93.54,92.69,92.75999999999999,10.09,92.08,93.86,93.17,9.43,90.7,94.75
16,95.3,9.629999999999999,90.36,95.91,93.75,93.72,93.08999999999999,93.2,10.02,92.16,93.62,93.60000000000001,9.36,90.5,94.66
17,95.53,9.59,91.08000000000001,96,93.87,93.34,92.74,93.39,9.87,91.95,93.25,93.13,9.41,90.53999999999999,94.59
18,95.50999999999999,9.76,91.28,96.35000000000001,93.76,93.58,92.84,93.17999999999999,9.719999999999999,92.21000000000001,93.7,93.25,9.51,90.35,94.69999999999999
19,94.75,9.78,90.78,95.58,93.60000000000001,93.73,93.12,93.21000000000001,9.83,91.75999999999999,93.25,92.80000000000001,9.4,90.14,94.52000000000001
20,95.46,9.82,91.32000000000001,96.07,93.75,93.85,93.32000000000001,93.47999999999999,9.58,92.49000000000001,94.24,93.35,9.43,91.36,94.49
21,,,,,94.03,93.91000000000001,93.37,,,,,,,,
22,,,,,93.73,93.69,92.96,,,,,,,,
23,,,,,93.83,93.92,92.99,,,,,,,,
24,,,,,94,94.12,93.07,,,,,,,,
25,,,,,93.81,94.15,93.19,,,,,,,,
26,,,,,94.19,94.1,93.30000000000001,,,,,,,,
27,,,,,94,94.03,93.45,,,,,,,,
28,,,,,94.21000000000001,94.03,93.38,,,,,,,,
29,,,,,94.43,94.16,93.4,,,,,,,,
30,,,,,94.23,94.39,93.4,,,,,,,,
31,,,,,94.16,94.34,93.30000000000001,,,,,,,,
32,,,,,94.39999999999999,94.35,93.22,,,,,,,,
33,,,,,94.15,94.22,93.23,,,,,,,,
34,,,,,94.14,94.43,93.54,,,,,,,,
35,,,,,93.97999999999999,94.39,93.53,,,,,,,,
36,,,,,94.08999999999999,94.41000000000001,93.2,,,,,,,,
37,,,,,94.32000000000001,94.62,93.46,,,,,,,,
38,,,,,94.17,94.56,93.24,,,,,,,,
39,,,,,94.3,94.59,93.51,,,,,,,,
40,,,,,94.38,94.51,93.73,,,,,,,,
41,,,,,94.45,94.53,93.62,,,,,,,,
42,,,,,94.39999999999999,94.64,93.5,,,,,,,,
43,,,,,94.54,94.48,93.64,,,,,,,,
44,,,,,94.23,94.56,93.58999999999999,,,,,,,,
45,,,,,94.27,94.56,93.60000000000001,,,,,,,,
46,,,,,94.62,94.56,93.57,,,,,,,,
47,,,,,94.47,94.54,93.7,,,,,,,,
48,,,,,94.49,94.61,93.60000000000001,,,,,,,,
49,,,,,94.47,94.69,93.67,,,,,,,,
50,,,,,94.49,94.64,93.64,,,,,,,,
