,type,step,accuracy,loss
0,train,0,6.25,2.3039278984069824
1,train,1,6.25,2.3016109466552734
2,train,2,17.1875,2.2971835136413574
3,train,3,7.8125,2.301931142807007
4,train,4,17.1875,2.2939133644104004
5,train,5,17.1875,2.29616379737854
6,train,6,14.0625,2.2962465286254883
7,train,7,17.1875,2.291645050048828
8,train,8,21.875,2.293593645095825
9,train,9,20.3125,2.290304183959961
10,train,10,17.1875,2.296961545944214
11,train,11,28.125,2.2885336875915527
12,train,12,25.0,2.286328077316284
13,train,13,21.875,2.2904551029205322
14,train,14,29.6875,2.281040906906128
15,train,15,31.25,2.274456262588501
16,train,16,18.75,2.285008192062378
17,train,17,23.4375,2.275501251220703
18,train,18,23.4375,2.28393292427063
19,train,19,20.3125,2.2769196033477783
20,train,20,18.75,2.2822790145874023
21,train,21,26.5625,2.277345895767212
22,train,22,32.8125,2.2600324153900146
23,train,23,28.125,2.2669174671173096
24,train,24,15.625,2.284905433654785
25,train,25,20.3125,2.27872896194458
26,train,26,28.125,2.2589964866638184
27,train,27,26.5625,2.262661933898926
28,train,28,28.125,2.265897512435913
29,train,29,21.875,2.269974946975708
30,train,30,28.125,2.2636008262634277
31,train,31,37.5,2.2390387058258057
32,train,32,31.25,2.2519919872283936
33,train,33,32.8125,2.2362844944000244
34,train,34,29.6875,2.2477633953094482
35,train,35,25.0,2.2642526626586914
36,train,36,34.375,2.2262685298919678
37,train,37,34.375,2.2227530479431152
38,train,38,35.9375,2.2165706157684326
39,train,39,21.875,2.241225242614746
40,train,40,46.875,2.1924221515655518
41,train,41,26.5625,2.206650733947754
42,train,42,25.0,2.235952854156494
43,train,43,43.75,2.184157133102417
44,train,44,29.6875,2.2096850872039795
45,train,45,29.6875,2.2366089820861816
46,train,46,21.875,2.2175233364105225
47,train,47,42.1875,2.189629554748535
48,train,48,23.4375,2.2347350120544434
49,train,49,25.0,2.219562292098999
50,train,50,29.6875,2.2189290523529053
51,train,51,35.9375,2.2096800804138184
52,train,52,18.75,2.229241132736206
53,train,53,25.0,2.2156991958618164
54,train,54,25.0,2.2355685234069824
55,train,55,21.875,2.222726821899414
56,train,56,29.6875,2.204122304916382
57,train,57,31.25,2.196352481842041
58,train,58,37.5,2.1441309452056885
59,train,59,29.6875,2.1908395290374756
60,train,60,25.0,2.212200164794922
61,train,61,48.4375,2.165167808532715
62,train,62,32.8125,2.207732677459717
63,train,63,29.6875,2.1950325965881348
64,train,64,29.6875,2.216813802719116
65,train,65,21.875,2.216672658920288
66,train,66,34.375,2.1989920139312744
67,train,67,42.1875,2.166452646255493
68,train,68,35.9375,2.1553308963775635
69,train,69,28.125,2.183793306350708
70,train,70,35.9375,2.2060983180999756
71,train,71,40.625,2.168656826019287
72,train,72,40.625,2.149716377258301
73,train,73,42.1875,2.1303036212921143
74,train,74,37.5,2.1550865173339844
75,train,75,45.3125,2.133075475692749
76,train,76,39.0625,2.1534817218780518
77,train,77,51.5625,2.1410906314849854
78,train,78,48.4375,2.1396772861480713
79,train,79,50.0,2.129396915435791
80,train,80,45.3125,2.1338937282562256
81,train,81,45.3125,2.1586570739746094
82,train,82,42.1875,2.131042957305908
83,train,83,46.875,2.1331493854522705
84,train,84,43.75,2.140927314758301
85,train,85,48.4375,2.1609270572662354
86,train,86,39.0625,2.1141860485076904
87,train,87,39.0625,2.097662925720215
88,train,88,37.5,2.150686502456665
89,train,89,37.5,2.1603615283966064
90,train,90,50.0,2.1373820304870605
91,train,91,60.9375,2.070310592651367
92,train,92,53.125,2.125546932220459
93,train,93,50.0,2.0949196815490723
94,train,94,48.4375,2.10775089263916
95,train,95,46.875,2.11677622795105
96,train,96,54.6875,2.0728752613067627
97,train,97,57.8125,2.1163504123687744
98,train,98,51.5625,2.1251108646392822
99,train,99,45.3125,2.1129777431488037
100,train,100,46.875,2.1003570556640625
101,train,101,59.375,2.064983606338501
102,train,102,34.375,2.1382877826690674
103,train,103,43.75,2.0934600830078125
104,train,104,54.6875,2.0700502395629883
105,train,105,48.4375,2.114837169647217
106,train,106,53.125,2.080056667327881
107,train,107,59.375,2.031207323074341
108,train,108,54.6875,2.0871760845184326
109,train,109,43.75,2.0871009826660156
110,train,110,50.0,2.068633556365967
111,train,111,46.875,2.057743787765503
112,train,112,37.5,2.0886716842651367
113,train,113,56.25,2.0224227905273438
114,train,114,50.0,2.080660820007324
115,train,115,65.625,2.0141091346740723
116,train,116,45.3125,2.1023099422454834
117,train,117,54.6875,2.06117582321167
118,train,118,39.0625,2.064743995666504
119,train,119,51.5625,2.040066719055176
120,train,120,50.0,2.0721826553344727
121,train,121,42.1875,2.089189291000366
122,train,122,56.25,2.029772996902466
123,train,123,46.875,2.064162492752075
124,train,124,59.375,2.040215492248535
125,train,125,54.6875,2.0440759658813477
126,train,126,65.625,1.9858853816986084
127,train,127,64.0625,2.0217413902282715
128,train,128,64.0625,1.993782877922058
129,train,129,57.8125,2.051079273223877
130,train,130,57.8125,2.038219928741455
131,train,131,51.5625,2.0713212490081787
132,train,132,65.625,1.982549786567688
133,train,133,64.0625,1.9812865257263184
134,train,134,64.0625,2.0338728427886963
135,train,135,60.9375,2.0179331302642822
136,train,136,67.1875,2.027416467666626
137,train,137,60.9375,1.99698805809021
138,train,138,71.875,2.000624656677246
139,train,139,62.5,2.0191540718078613
140,train,140,67.1875,1.9802806377410889
141,train,141,56.25,2.050913095474243
142,train,142,54.6875,2.0218632221221924
143,train,143,64.0625,1.999068260192871
144,train,144,53.125,2.0507664680480957
145,train,145,65.625,1.9891777038574219
146,train,146,67.1875,1.9635429382324219
147,train,147,75.0,1.9410934448242188
148,train,148,53.125,2.056868076324463
149,train,149,62.5,1.983246922492981
150,train,150,65.625,1.9695353507995605
151,train,151,62.5,1.9927953481674194
152,train,152,59.375,2.00586199760437
153,train,153,82.8125,1.902673602104187
154,train,154,67.1875,1.994080662727356
155,train,155,53.125,2.0502047538757324
156,train,156,65.625,1.9985647201538086
157,train,157,71.875,1.9695550203323364
158,train,158,73.4375,1.9610122442245483
159,train,159,59.375,2.044720411300659
160,train,160,71.875,1.9520601034164429
161,train,161,68.75,1.9502078294754028
162,train,162,68.75,1.943071722984314
163,train,163,68.75,1.972317099571228
164,train,164,73.4375,1.937470555305481
165,train,165,71.875,1.9777612686157227
166,train,166,79.6875,1.8988862037658691
167,train,167,75.0,1.9358433485031128
168,train,168,79.6875,1.9113515615463257
169,train,169,78.125,1.9225417375564575
170,train,170,81.25,1.884074330329895
171,train,171,65.625,1.931577205657959
172,train,172,64.0625,1.9630476236343384
173,train,173,81.25,1.8908110857009888
174,train,174,73.4375,1.8958089351654053
175,train,175,79.6875,1.8800067901611328
176,train,176,76.5625,1.9104009866714478
177,train,177,70.3125,1.9374282360076904
178,train,178,68.75,1.9546765089035034
179,train,179,71.875,1.890055537223816
180,train,180,76.5625,1.9058793783187866
181,train,181,79.6875,1.8574965000152588
182,train,182,73.4375,1.8864659070968628
183,train,183,76.5625,1.8613765239715576
184,train,184,79.6875,1.8611371517181396
185,train,185,78.125,1.8617312908172607
186,train,186,68.75,1.9030884504318237
187,train,187,68.75,1.9161351919174194
188,train,188,68.75,1.9296433925628662
189,train,189,71.875,1.9216326475143433
190,train,190,75.0,1.8453376293182373
191,train,191,76.5625,1.8363467454910278
192,train,192,76.5625,1.8820751905441284
193,train,193,71.875,1.847354769706726
194,train,194,75.0,1.8801480531692505
195,train,195,76.5625,1.8321533203125
196,train,196,78.125,1.860518455505371
197,train,197,84.375,1.8173877000808716
198,train,198,82.8125,1.8438985347747803
199,train,199,62.5,1.905413269996643
200,train,200,68.75,1.8980950117111206
201,train,201,71.875,1.8867924213409424
202,train,202,73.4375,1.8622294664382935
203,train,203,76.5625,1.8376085758209229
204,train,204,60.9375,1.921497106552124
205,train,205,82.8125,1.8051563501358032
206,train,206,81.25,1.833579182624817
207,train,207,65.625,1.9028741121292114
208,train,208,76.5625,1.8228137493133545
209,train,209,78.125,1.8158137798309326
210,train,210,76.5625,1.842444658279419
211,train,211,81.25,1.8136208057403564
212,train,212,84.375,1.778352975845337
213,train,213,81.25,1.7897340059280396
214,train,214,78.125,1.8250030279159546
215,train,215,79.6875,1.7857725620269775
216,train,216,79.6875,1.8049101829528809
217,train,217,81.25,1.7632858753204346
218,train,218,83.33333333333334,1.7927929162979126
219,validation,0,79.6875,1.796711802482605
220,validation,1,71.875,1.8315999507904053
221,validation,2,76.5625,1.8038407564163208
222,validation,3,71.875,1.8364431858062744
223,validation,4,76.5625,1.8183664083480835
224,validation,5,75.0,1.8299272060394287
225,validation,6,70.3125,1.8430233001708984
226,validation,7,75.0,1.8387913703918457
227,validation,8,70.3125,1.862861156463623
228,validation,9,75.0,1.81780207157135
229,validation,10,75.0,1.8567161560058594
230,validation,11,70.3125,1.8455640077590942
231,validation,12,70.3125,1.8511223793029785
232,validation,13,81.25,1.797526240348816
233,validation,14,71.875,1.8563284873962402
234,validation,15,82.8125,1.8097039461135864
235,validation,16,76.5625,1.7928340435028076
236,validation,17,79.6875,1.7926212549209595
237,validation,18,79.6875,1.7717759609222412
238,validation,19,67.1875,1.8952020406723022
239,validation,20,73.4375,1.8327518701553345
240,validation,21,75.0,1.836429476737976
241,validation,22,81.25,1.7705005407333374
242,validation,23,71.875,1.840531349182129
243,validation,24,73.4375,1.8583015203475952
244,validation,25,84.375,1.773282527923584
245,validation,26,76.5625,1.7901047468185425
246,validation,27,75.0,1.795781135559082
247,validation,28,75.0,1.837715744972229
248,validation,29,78.125,1.8330471515655518
249,validation,30,68.75,1.8755027055740356
250,validation,31,71.875,1.8645774126052856
251,validation,32,75.0,1.8490502834320068
252,validation,33,70.3125,1.859346866607666
253,validation,34,67.1875,1.8560550212860107
254,validation,35,73.4375,1.8167098760604858
255,validation,36,79.6875,1.7978988885879517
256,validation,37,81.25,1.7845518589019775
257,validation,38,82.8125,1.797333002090454
258,validation,39,76.5625,1.8554091453552246
259,validation,40,65.625,1.8928760290145874
260,validation,41,75.0,1.841210961341858
261,validation,42,71.875,1.8344521522521973
262,validation,43,79.6875,1.832039713859558
263,validation,44,70.3125,1.8603272438049316
264,validation,45,79.6875,1.7836674451828003
265,validation,46,78.125,1.8059417009353638
266,validation,47,67.1875,1.8823837041854858
267,validation,48,84.375,1.7852526903152466
268,validation,49,71.875,1.8325049877166748
269,validation,50,79.6875,1.8096623420715332
270,validation,51,71.875,1.8455455303192139
271,validation,52,73.4375,1.8315117359161377
272,validation,53,85.9375,1.7540788650512695
273,validation,54,67.1875,1.8882368803024292
274,validation,55,79.6875,1.785178542137146
275,validation,56,70.3125,1.8532437086105347
276,validation,57,78.125,1.7741928100585938
277,validation,58,78.125,1.793053388595581
278,validation,59,78.125,1.7847018241882324
279,validation,60,76.5625,1.8032728433609009
280,validation,61,82.8125,1.7709691524505615
281,validation,62,78.125,1.779735803604126
282,validation,63,76.5625,1.8369719982147217
283,validation,64,78.125,1.809352159500122
284,validation,65,78.125,1.8232131004333496
285,validation,66,75.0,1.7836675643920898
286,validation,67,82.8125,1.7491962909698486
287,validation,68,79.6875,1.7845946550369263
288,validation,69,79.6875,1.8072303533554077
289,validation,70,73.4375,1.8159375190734863
290,validation,71,76.5625,1.8129856586456299
291,validation,72,73.4375,1.8176299333572388
292,validation,73,73.4375,1.8311227560043335
293,validation,74,71.875,1.8650541305541992
294,validation,75,70.3125,1.8331700563430786
295,validation,76,76.5625,1.8106729984283447
296,validation,77,75.0,1.816489577293396
