,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,audio-mnist,restnet50,N/A,N/A,95.36,4.640000000000001,0.0,25567042
1,audio-mnist,restnet50,N/A,doing_the_dishes-fixed,10.73,89.27,1.0,25567042
2,audio-mnist,restnet50,Tent Adaptation,doing_the_dishes-fixed,53.87,46.13,1.0,25567042
3,audio-mnist,restnet50,Norm Adaptation,doing_the_dishes-fixed,51.959999999999994,48.040000000000006,1.0,25567042
4,audio-mnist,restnet50,N/A,exercise_bike-fixed,13.04,86.96000000000001,1.0,25567042
5,audio-mnist,restnet50,Tent Adaptation,exercise_bike-fixed,57.93000000000001,42.06999999999999,1.0,25567042
6,audio-mnist,restnet50,Norm Adaptation,exercise_bike-fixed,57.440000000000005,42.559999999999995,1.0,25567042
7,audio-mnist,restnet50,N/A,running_tap-fixed,22.919999999999998,77.08,1.0,25567042
8,audio-mnist,restnet50,Tent Adaptation,running_tap-fixed,66.16,33.84,1.0,25567042
9,audio-mnist,restnet50,Norm Adaptation,running_tap-fixed,62.72,37.28,1.0,25567042
