,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,audio-mnist,restnet50,N/A,N/A,95.75,4.25,0.0,25567042
1,audio-mnist,restnet50,N/A,doing_the_dishes-rand,12.15,87.85,1.0,25567042
2,audio-mnist,restnet50,Tent Adaptation,doing_the_dishes-rand,45.76,54.24,1.0,25567042
3,audio-mnist,restnet50,Norm Adaptation,doing_the_dishes-rand,45.29,54.71,1.0,25567042
4,audio-mnist,restnet50,N/A,exercise_bike-rand,16.09,83.91,1.0,25567042
5,audio-mnist,restnet50,Tent Adaptation,exercise_bike-rand,58.56,41.44,1.0,25567042
6,audio-mnist,restnet50,Norm Adaptation,exercise_bike-rand,55.82,44.18,1.0,25567042
7,audio-mnist,restnet50,N/A,running_tap-rand,26.810000000000002,73.19,1.0,25567042
8,audio-mnist,restnet50,Tent Adaptation,running_tap-rand,64.69,35.31,1.0,25567042
9,audio-mnist,restnet50,Norm Adaptation,running_tap-rand,61.19,38.81,1.0,25567042
