,type,step,accuracy,loss
0,train,0,14.0625,2.335319995880127
1,train,1,15.625,2.6060729026794434
2,train,2,12.5,2.212019920349121
3,train,3,15.625,2.2857794761657715
4,train,4,31.25,2.0411500930786133
5,train,5,18.75,2.039992570877075
6,train,6,34.375,1.8547199964523315
7,train,7,56.25,1.4169495105743408
8,train,8,56.25,1.2848998308181763
9,train,9,64.0625,1.101769208908081
10,train,10,57.8125,1.409767508506775
11,train,11,59.375,1.0924301147460938
12,train,12,70.3125,0.8027790784835815
13,train,13,71.875,0.770429253578186
14,train,14,76.5625,0.5877453684806824
15,train,15,68.75,1.0267698764801025
16,train,16,76.5625,0.7729271650314331
17,train,17,89.0625,0.43458718061447144
18,train,18,79.6875,0.48582473397254944
19,train,19,92.1875,0.31154704093933105
20,train,20,70.3125,0.7887195944786072
21,train,21,87.5,0.3243754506111145
22,train,22,84.375,0.3471373915672302
23,train,23,90.625,0.3131607174873352
24,train,24,87.5,0.42212608456611633
25,train,25,92.1875,0.3526289165019989
26,train,26,84.375,0.465088427066803
27,train,27,90.625,0.29494407773017883
28,train,28,93.75,0.18731534481048584
29,train,29,89.0625,0.3426513075828552
30,train,30,85.9375,0.43929967284202576
31,train,31,87.5,0.28927499055862427
32,train,32,87.5,0.37749356031417847
33,train,33,92.1875,0.25280243158340454
34,train,34,95.3125,0.16988489031791687
35,train,35,87.5,0.4441358149051666
36,train,36,90.625,0.28985631465911865
37,train,37,89.0625,0.21684971451759338
38,train,38,95.3125,0.15127351880073547
39,train,39,93.75,0.16012677550315857
40,train,40,87.5,0.2829655408859253
41,train,41,96.875,0.1128048300743103
42,train,42,92.1875,0.17494751513004303
43,train,43,92.1875,0.25536930561065674
44,train,44,89.0625,0.29446202516555786
45,train,45,95.3125,0.16202141344547272
46,train,46,95.3125,0.24140506982803345
47,train,47,84.375,0.45206496119499207
48,train,48,92.1875,0.1859530210494995
49,train,49,90.625,0.27294036746025085
50,train,50,95.3125,0.16917122900485992
51,train,51,96.875,0.23088864982128143
52,train,52,90.625,0.26558420062065125
53,train,53,93.75,0.1875658929347992
54,train,54,95.3125,0.1379256695508957
55,train,55,98.4375,0.06649017333984375
56,train,56,89.0625,0.24491475522518158
57,train,57,95.3125,0.12959185242652893
58,train,58,95.3125,0.1002221405506134
59,train,59,96.875,0.10503315180540085
60,train,60,98.4375,0.07797892391681671
61,train,61,96.875,0.1414254903793335
62,train,62,96.875,0.08123622834682465
63,train,63,87.5,0.3749956786632538
64,train,64,95.3125,0.337958961725235
65,train,65,95.3125,0.10975774377584457
66,train,66,98.4375,0.04931654781103134
67,train,67,96.875,0.08371322602033615
68,train,68,96.875,0.0758991539478302
69,train,69,90.625,0.25298455357551575
70,train,70,93.75,0.21105706691741943
71,train,71,98.4375,0.13892927765846252
72,train,72,90.625,0.24935729801654816
73,train,73,98.4375,0.06583116948604584
74,train,74,98.4375,0.053717538714408875
75,train,75,82.8125,0.46342897415161133
76,train,76,98.4375,0.06572544574737549
77,train,77,100.0,0.014626212418079376
78,train,78,96.875,0.0826270803809166
79,train,79,85.9375,0.5745460987091064
80,train,80,95.3125,0.14548909664154053
81,train,81,93.75,0.17299236357212067
82,train,82,96.875,0.06864859163761139
83,train,83,92.1875,0.21964682638645172
84,train,84,98.4375,0.13577036559581757
85,train,85,92.1875,0.20849476754665375
86,train,86,93.75,0.20730888843536377
87,train,87,96.875,0.1016358882188797
88,train,88,93.75,0.35544198751449585
89,train,89,87.5,0.358501672744751
90,train,90,90.625,0.2553064823150635
91,train,91,90.625,0.2050643265247345
92,train,92,92.1875,0.136925607919693
