,type,step,accuracy,loss
0,train,0,12.5,2.299447774887085
1,train,1,9.375,2.3008525371551514
2,train,2,15.625,2.2953526973724365
3,train,3,14.0625,2.2957730293273926
4,train,4,15.625,2.2942187786102295
5,train,5,17.1875,2.289335250854492
6,train,6,12.5,2.3028059005737305
7,train,7,23.4375,2.2953250408172607
8,train,8,23.4375,2.2877933979034424
9,train,9,10.9375,2.2985713481903076
10,train,10,20.3125,2.2901651859283447
11,train,11,20.3125,2.279391288757324
12,train,12,23.4375,2.279841184616089
13,train,13,23.4375,2.292163372039795
14,train,14,20.3125,2.2888402938842773
15,train,15,35.9375,2.274646759033203
16,train,16,25.0,2.278055429458618
17,train,17,37.5,2.2748773097991943
18,train,18,31.25,2.2758853435516357
19,train,19,34.375,2.274912118911743
20,train,20,29.6875,2.2759716510772705
21,train,21,37.5,2.2659945487976074
22,train,22,34.375,2.2725179195404053
23,train,23,43.75,2.2678780555725098
24,train,24,37.5,2.263833522796631
25,train,25,42.1875,2.267305374145508
26,train,26,31.25,2.272447109222412
27,train,27,45.3125,2.259586811065674
28,train,28,42.1875,2.2566847801208496
29,train,29,48.4375,2.2536520957946777
30,train,30,43.75,2.262399673461914
31,train,31,40.625,2.256598472595215
32,train,32,31.25,2.259986639022827
33,train,33,40.625,2.2525277137756348
34,train,34,46.875,2.2525851726531982
35,train,35,40.625,2.247836112976074
36,train,36,39.0625,2.2618422508239746
37,train,37,45.3125,2.2342560291290283
38,train,38,45.3125,2.2521462440490723
39,train,39,48.4375,2.224766969680786
40,train,40,51.5625,2.2349355220794678
41,train,41,54.6875,2.2333693504333496
42,train,42,51.5625,2.2271273136138916
43,train,43,60.9375,2.200167179107666
44,train,44,48.4375,2.2209038734436035
45,train,45,48.4375,2.233370065689087
46,train,46,40.625,2.2264087200164795
47,train,47,43.75,2.227924108505249
48,train,48,42.1875,2.2214736938476562
49,train,49,56.25,2.181157350540161
50,train,50,48.4375,2.1987144947052
51,train,51,48.4375,2.211515426635742
52,train,52,45.3125,2.18569278717041
53,train,53,39.0625,2.205371856689453
54,train,54,35.9375,2.2222864627838135
55,train,55,53.125,2.161039113998413
56,train,56,42.1875,2.203397512435913
57,train,57,34.375,2.1865196228027344
58,train,58,40.625,2.1775670051574707
59,train,59,50.0,2.167052745819092
60,train,60,40.625,2.1802754402160645
61,train,61,42.1875,2.1772103309631348
62,train,62,42.1875,2.1592094898223877
63,train,63,32.8125,2.202636957168579
64,train,64,42.1875,2.1848011016845703
65,train,65,39.0625,2.18086576461792
66,train,66,48.4375,2.148587226867676
67,train,67,43.75,2.1647210121154785
68,train,68,50.0,2.146016836166382
69,train,69,40.625,2.162008285522461
70,train,70,46.875,2.147203207015991
71,train,71,46.875,2.153266429901123
72,train,72,46.875,2.1600501537323
73,train,73,53.125,2.118821620941162
74,train,74,50.0,2.123020648956299
75,train,75,32.8125,2.174180746078491
76,train,76,37.5,2.1500778198242188
77,train,77,42.1875,2.145693302154541
78,train,78,50.0,2.100196123123169
79,train,79,32.8125,2.1526167392730713
80,train,80,43.75,2.118696689605713
81,train,81,39.0625,2.1496973037719727
82,train,82,42.1875,2.1211698055267334
83,train,83,46.875,2.1127524375915527
84,train,84,48.4375,2.1181976795196533
85,train,85,40.625,2.1483516693115234
86,train,86,40.625,2.147367000579834
87,train,87,42.1875,2.113755464553833
88,train,88,43.75,2.1509182453155518
89,train,89,48.4375,2.1027936935424805
90,train,90,51.5625,2.0808451175689697
91,train,91,46.875,2.0981967449188232
92,train,92,48.4375,2.096844434738159
93,train,93,53.125,2.0694870948791504
94,train,94,56.25,2.0449070930480957
95,train,95,45.3125,2.1121108531951904
96,train,96,54.6875,2.073517084121704
97,train,97,51.5625,2.0822393894195557
98,train,98,48.4375,2.0631704330444336
99,train,99,50.0,2.0995922088623047
100,train,100,50.0,2.086139440536499
101,train,101,43.75,2.0903983116149902
102,train,102,46.875,2.0882632732391357
103,train,103,53.125,2.0470123291015625
104,train,104,51.5625,2.059401035308838
105,train,105,43.75,2.0823466777801514
106,train,106,45.3125,2.082047462463379
107,train,107,51.5625,2.043412208557129
108,train,108,53.125,2.0326790809631348
109,train,109,45.3125,2.089245557785034
110,train,110,56.25,2.028869867324829
111,train,111,45.3125,2.087477445602417
112,train,112,56.25,2.021219491958618
113,train,113,50.0,2.0273075103759766
114,train,114,54.6875,2.074971914291382
115,train,115,59.375,2.014474391937256
116,train,116,54.6875,2.033283233642578
117,train,117,54.6875,2.0283451080322266
118,train,118,46.875,2.07096529006958
119,train,119,54.6875,2.0451948642730713
120,train,120,56.25,2.0164265632629395
121,train,121,51.5625,2.032862424850464
122,train,122,54.6875,2.020979642868042
123,train,123,56.25,2.0328481197357178
