,dataset,type,step,accuracy,loss
0,audio-mnist,cls,0,10.416666666666668,2.3610899448394775
1,audio-mnist,ssh,0,0.0,1.3677854537963867
2,audio-mnist,cls,1,10.416666666666668,2.3967318534851074
3,audio-mnist,ssh,1,2.083333333333333,1.185092568397522
4,audio-mnist,cls,2,12.5,2.2782652378082275
5,audio-mnist,ssh,2,13.541666666666666,0.7626745700836182
6,audio-mnist,cls,3,10.416666666666668,2.281395673751831
7,audio-mnist,ssh,3,34.375,0.4524173438549042
8,audio-mnist,cls,4,22.916666666666664,2.2517874240875244
9,audio-mnist,ssh,4,19.791666666666664,0.19744665920734406
10,audio-mnist,cls,5,34.375,2.1722500324249268
11,audio-mnist,ssh,5,19.791666666666664,0.14005155861377716
12,audio-mnist,cls,6,30.208333333333332,2.0288054943084717
13,audio-mnist,ssh,6,0.0,0.11283877491950989
14,audio-mnist,cls,7,21.875,2.040846347808838
15,audio-mnist,ssh,7,0.0,0.12409395724534988
16,audio-mnist,cls,8,28.125,1.9178448915481567
17,audio-mnist,ssh,8,21.875,0.03232681751251221
18,audio-mnist,cls,9,37.5,1.7484002113342285
19,audio-mnist,ssh,9,19.791666666666664,0.06400471180677414
20,audio-mnist,cls,10,38.54166666666667,1.7097121477127075
21,audio-mnist,ssh,10,8.333333333333332,0.06710552424192429
22,audio-mnist,cls,11,44.79166666666667,1.6546239852905273
23,audio-mnist,ssh,11,11.458333333333332,0.08710240572690964
24,audio-mnist,cls,12,44.79166666666667,1.44092857837677
25,audio-mnist,ssh,12,9.375,0.05914996191859245
26,audio-mnist,cls,13,48.95833333333333,1.496767520904541
27,audio-mnist,ssh,13,12.5,0.016142727807164192
28,audio-mnist,cls,14,53.125,1.575246810913086
29,audio-mnist,ssh,14,4.166666666666666,0.056792329996824265
30,audio-mnist,cls,15,57.291666666666664,1.1451085805892944
31,audio-mnist,ssh,15,3.125,0.016325276345014572
32,audio-mnist,cls,16,58.333333333333336,1.0383646488189697
33,audio-mnist,ssh,16,11.458333333333332,0.04822010174393654
34,audio-mnist,cls,17,71.875,0.876462996006012
35,audio-mnist,ssh,17,12.5,0.029424728825688362
36,audio-mnist,cls,18,61.458333333333336,1.2421997785568237
37,audio-mnist,ssh,18,8.333333333333332,0.1132926419377327
38,audio-mnist,cls,19,65.625,0.9179415106773376
39,audio-mnist,ssh,19,5.208333333333334,0.024936551228165627
40,audio-mnist,cls,20,65.625,0.9762205481529236
41,audio-mnist,ssh,20,9.375,0.011528964154422283
42,audio-mnist,cls,21,66.66666666666666,0.9480574727058411
43,audio-mnist,ssh,21,8.333333333333332,0.00824512168765068
44,audio-mnist,cls,22,67.70833333333334,1.012363076210022
45,audio-mnist,ssh,22,10.416666666666668,0.01213108655065298
