,dataset,type,step,accuracy,loss
0,audio-mnist,cls,0,10.15625,2.378906726837158
1,audio-mnist,ssh,0,29.4921875,1.3718515634536743
2,audio-mnist,cls,1,7.8125,2.3986406326293945
3,audio-mnist,ssh,1,74.0234375,1.035082221031189
4,audio-mnist,cls,2,10.15625,2.3062331676483154
5,audio-mnist,ssh,2,95.3125,0.552712082862854
6,audio-mnist,cls,3,16.40625,2.3541080951690674
7,audio-mnist,ssh,3,95.5078125,0.3053308129310608
8,audio-mnist,cls,4,33.59375,2.080024480819702
9,audio-mnist,ssh,4,96.09375,0.15539391338825226
10,audio-mnist,cls,5,14.0625,2.1783294677734375
11,audio-mnist,ssh,5,98.828125,0.08231411874294281
12,audio-mnist,cls,6,28.125,1.9026334285736084
13,audio-mnist,ssh,6,95.1171875,0.10601695626974106
14,audio-mnist,cls,7,49.21875,1.7673057317733765
15,audio-mnist,ssh,7,97.4609375,0.09001584351062775
16,audio-mnist,cls,8,42.96875,1.915469765663147
17,audio-mnist,ssh,8,95.3125,0.10873893648386002
18,audio-mnist,cls,9,31.25,1.7315409183502197
19,audio-mnist,ssh,9,95.8984375,0.09450526535511017
20,audio-mnist,cls,10,55.46875,1.4326882362365723
21,audio-mnist,ssh,10,96.484375,0.12034837901592255
22,audio-mnist,cls,11,35.9375,1.7351338863372803
23,audio-mnist,ssh,11,97.265625,0.11241810768842697
24,audio-mnist,cls,12,42.1875,1.4549665451049805
25,audio-mnist,ssh,12,98.4375,0.05440271645784378
26,audio-mnist,cls,13,63.28125,1.1981981992721558
27,audio-mnist,ssh,13,98.828125,0.023430323228240013
28,audio-mnist,cls,14,53.125,1.2849470376968384
29,audio-mnist,ssh,14,98.4375,0.035621702671051025
30,audio-mnist,cls,15,50.0,1.2150081396102905
31,audio-mnist,ssh,15,97.65625,0.059287965297698975
32,audio-mnist,cls,16,70.3125,0.8967987895011902
33,audio-mnist,ssh,16,98.046875,0.04343219846487045
34,audio-mnist,cls,17,62.5,1.0211833715438843
35,audio-mnist,ssh,17,98.828125,0.03435270115733147
36,audio-mnist,cls,18,76.5625,0.7607156038284302
37,audio-mnist,ssh,18,98.828125,0.03195222467184067
38,audio-mnist,cls,19,67.96875,0.8018894791603088
39,audio-mnist,ssh,19,97.4609375,0.062339313328266144
40,audio-mnist,cls,20,83.59375,0.6224021315574646
41,audio-mnist,ssh,20,98.046875,0.05415229871869087
42,audio-mnist,cls,21,77.34375,0.7000677585601807
43,audio-mnist,ssh,21,99.609375,0.013822829350829124
44,audio-mnist,cls,22,85.15625,0.5703596472740173
45,audio-mnist,ssh,22,99.0234375,0.025753125548362732
46,audio-mnist,cls,23,87.5,0.45875030755996704
47,audio-mnist,ssh,23,99.8046875,0.009517787955701351
48,audio-mnist,cls,24,84.375,0.49163150787353516
49,audio-mnist,ssh,24,99.4140625,0.013921077363193035
50,audio-mnist,cls,25,85.15625,0.5476985573768616
51,audio-mnist,ssh,25,100.0,0.004502173513174057
52,audio-mnist,cls,26,76.5625,0.6648514270782471
53,audio-mnist,ssh,26,99.8046875,0.006689310073852539
54,audio-mnist,cls,27,88.28125,0.3712429702281952
55,audio-mnist,ssh,27,98.6328125,0.03424086421728134
56,audio-mnist,cls,28,78.90625,0.5773945450782776
57,audio-mnist,ssh,28,98.828125,0.03059392236173153
58,audio-mnist,cls,29,87.5,0.43673354387283325
59,audio-mnist,ssh,29,99.4140625,0.03348459675908089
60,audio-mnist,cls,30,92.1875,0.3214295506477356
61,audio-mnist,ssh,30,99.609375,0.009222598746418953
62,audio-mnist,cls,31,89.0625,0.3759590983390808
63,audio-mnist,ssh,31,99.0234375,0.027790768072009087
64,audio-mnist,cls,32,82.8125,0.4751890301704407
65,audio-mnist,ssh,32,99.609375,0.00707581453025341
66,audio-mnist,cls,33,89.0625,0.448377788066864
67,audio-mnist,ssh,33,99.8046875,0.010546564124524593
68,audio-mnist,cls,34,87.5,0.38145652413368225
69,audio-mnist,ssh,34,98.6328125,0.03318793326616287
70,audio-mnist,cls,35,85.15625,0.39665621519088745
71,audio-mnist,ssh,35,99.8046875,0.011923344805836678
72,audio-mnist,cls,36,94.53125,0.24354934692382812
73,audio-mnist,ssh,36,100.0,0.002786593046039343
74,audio-mnist,cls,37,91.40625,0.3064509332180023
75,audio-mnist,ssh,37,99.8046875,0.011136705055832863
76,audio-mnist,cls,38,86.71875,0.32908907532691956
77,audio-mnist,ssh,38,99.8046875,0.005958564579486847
78,audio-mnist,cls,39,92.96875,0.21667636930942535
79,audio-mnist,ssh,39,100.0,0.0015565808862447739
80,audio-mnist,cls,40,91.40625,0.24884043633937836
81,audio-mnist,ssh,40,99.21875,0.02034619078040123
82,audio-mnist,cls,41,95.3125,0.26453864574432373
83,audio-mnist,ssh,41,100.0,0.002522262278944254
84,audio-mnist,cls,42,92.96875,0.26265838742256165
85,audio-mnist,ssh,42,99.609375,0.009538117796182632
86,audio-mnist,cls,43,92.1875,0.2116491198539734
87,audio-mnist,ssh,43,99.8046875,0.006016039289534092
88,audio-mnist,cls,44,93.75,0.24346958100795746
89,audio-mnist,ssh,44,100.0,0.006469756364822388
