,dataset,type,step,accuracy,loss
0,audio-mnist,cls,0,10.416666666666668,2.3373942375183105
1,audio-mnist,ssh,0,33.33333333333333,1.1080907583236694
2,audio-mnist,cls,1,18.75,2.278402805328369
3,audio-mnist,ssh,1,63.541666666666664,0.7989769577980042
4,audio-mnist,cls,2,13.541666666666666,2.278714418411255
5,audio-mnist,ssh,2,76.04166666666666,0.5653039813041687
6,audio-mnist,cls,3,26.041666666666668,2.337160587310791
7,audio-mnist,ssh,3,84.375,0.37599411606788635
8,audio-mnist,cls,4,19.791666666666664,2.2008049488067627
9,audio-mnist,ssh,4,81.25,0.44385993480682373
10,audio-mnist,cls,5,16.666666666666664,2.062922477722168
11,audio-mnist,ssh,5,78.125,0.45580169558525085
12,audio-mnist,cls,6,22.916666666666664,2.217008590698242
13,audio-mnist,ssh,6,76.04166666666666,0.6795913577079773
14,audio-mnist,cls,7,30.208333333333332,1.8702212572097778
15,audio-mnist,ssh,7,84.375,0.4654688835144043
16,audio-mnist,cls,8,39.58333333333333,1.8491584062576294
17,audio-mnist,ssh,8,84.375,0.34313639998435974
18,audio-mnist,cls,9,25.0,2.05171275138855
19,audio-mnist,ssh,9,79.16666666666666,0.4951561987400055
20,audio-mnist,cls,10,30.208333333333332,1.8527264595031738
21,audio-mnist,ssh,10,84.375,0.4151865541934967
22,audio-mnist,cls,11,30.208333333333332,1.836619257926941
23,audio-mnist,ssh,11,87.5,0.33559465408325195
24,audio-mnist,cls,12,36.45833333333333,1.7737876176834106
25,audio-mnist,ssh,12,80.20833333333334,0.43840542435646057
26,audio-mnist,cls,13,44.79166666666667,1.5795307159423828
27,audio-mnist,ssh,13,81.25,0.5287793278694153
28,audio-mnist,cls,14,52.083333333333336,1.4317841529846191
29,audio-mnist,ssh,14,84.375,0.3430100381374359
30,audio-mnist,cls,15,38.54166666666667,1.6242157220840454
31,audio-mnist,ssh,15,71.875,0.6656447052955627
32,audio-mnist,cls,16,47.91666666666667,1.5545843839645386
33,audio-mnist,ssh,16,84.375,0.4015530049800873
34,audio-mnist,cls,17,52.083333333333336,1.3698550462722778
35,audio-mnist,ssh,17,70.83333333333334,0.7023876309394836
36,audio-mnist,cls,18,56.25,1.2161980867385864
37,audio-mnist,ssh,18,76.04166666666666,0.5830269455909729
38,audio-mnist,cls,19,41.66666666666667,1.354567527770996
39,audio-mnist,ssh,19,83.33333333333334,0.40609076619148254
40,audio-mnist,cls,20,58.333333333333336,1.2732110023498535
41,audio-mnist,ssh,20,80.20833333333334,0.46670642495155334
