,dataset,type,step,accuracy,loss
0,audio-mnist,cls,0,9.375,2.3379104137420654
1,audio-mnist,ssh,0,26.041666666666668,1.1467503309249878
2,audio-mnist,cls,1,6.25,2.344712495803833
3,audio-mnist,ssh,1,53.125,0.9610913395881653
4,audio-mnist,cls,2,13.541666666666666,2.3802237510681152
5,audio-mnist,ssh,2,68.75,0.6321759223937988
6,audio-mnist,cls,3,10.416666666666668,2.2924277782440186
7,audio-mnist,ssh,3,75.0,0.5243660807609558
8,audio-mnist,cls,4,16.666666666666664,2.2780158519744873
9,audio-mnist,ssh,4,81.25,0.4156295359134674
10,audio-mnist,cls,5,18.75,2.210134506225586
11,audio-mnist,ssh,5,78.125,0.676185667514801
12,audio-mnist,cls,6,21.875,2.0813636779785156
13,audio-mnist,ssh,6,81.25,0.5390051603317261
14,audio-mnist,cls,7,25.0,2.091362953186035
15,audio-mnist,ssh,7,83.33333333333334,0.516135036945343
16,audio-mnist,cls,8,23.958333333333336,2.0991969108581543
17,audio-mnist,ssh,8,73.95833333333334,0.6042455434799194
18,audio-mnist,cls,9,29.166666666666668,1.9048033952713013
19,audio-mnist,ssh,9,81.25,0.4653238356113434
20,audio-mnist,cls,10,38.54166666666667,1.884251594543457
21,audio-mnist,ssh,10,77.08333333333334,0.5949844717979431
22,audio-mnist,cls,11,29.166666666666668,1.8859831094741821
23,audio-mnist,ssh,11,82.29166666666666,0.45310619473457336
24,audio-mnist,cls,12,43.75,1.5814623832702637
25,audio-mnist,ssh,12,85.41666666666666,0.35172438621520996
26,audio-mnist,cls,13,41.66666666666667,1.6101378202438354
27,audio-mnist,ssh,13,77.08333333333334,0.6108037829399109
28,audio-mnist,cls,14,39.58333333333333,1.6695247888565063
29,audio-mnist,ssh,14,69.79166666666666,0.70124751329422
30,audio-mnist,cls,15,48.95833333333333,1.370083212852478
31,audio-mnist,ssh,15,83.33333333333334,0.3836480379104614
32,audio-mnist,cls,16,45.83333333333333,1.432470440864563
33,audio-mnist,ssh,16,79.16666666666666,0.5155027508735657
34,audio-mnist,cls,17,52.083333333333336,1.3891915082931519
35,audio-mnist,ssh,17,81.25,0.4695764482021332
36,audio-mnist,cls,18,47.91666666666667,1.3872953653335571
37,audio-mnist,ssh,18,79.16666666666666,0.48093459010124207
38,audio-mnist,cls,19,57.291666666666664,1.250533938407898
39,audio-mnist,ssh,19,76.04166666666666,0.4619649648666382
40,audio-mnist,cls,20,53.125,1.318146824836731
41,audio-mnist,ssh,20,81.25,0.3968168795108795
42,audio-mnist,cls,21,56.25,1.172773003578186
43,audio-mnist,ssh,21,82.29166666666666,0.36456748843193054
44,audio-mnist,cls,22,59.375,1.2195147275924683
45,audio-mnist,ssh,22,80.20833333333334,0.4202587306499481
46,audio-mnist,cls,23,62.5,1.1182574033737183
47,audio-mnist,ssh,23,79.16666666666666,0.362200528383255
48,audio-mnist,cls,24,67.70833333333334,0.9653530120849609
49,audio-mnist,ssh,24,81.25,0.4240187406539917
50,audio-mnist,cls,25,66.66666666666666,0.892169177532196
51,audio-mnist,ssh,25,84.375,0.35015547275543213
52,audio-mnist,cls,26,73.95833333333334,0.8746612668037415
53,audio-mnist,ssh,26,75.0,0.5090101957321167
54,audio-mnist,cls,27,67.70833333333334,0.8584780097007751
55,audio-mnist,ssh,27,82.29166666666666,0.3776235282421112
56,audio-mnist,cls,28,75.0,0.7739225029945374
57,audio-mnist,ssh,28,77.08333333333334,0.37806960940361023
58,audio-mnist,cls,29,81.25,0.7014855742454529
59,audio-mnist,ssh,29,86.45833333333334,0.32313671708106995
60,audio-mnist,cls,30,76.04166666666666,0.9186690449714661
61,audio-mnist,ssh,30,82.29166666666666,0.35210689902305603
62,audio-mnist,cls,31,85.41666666666666,0.56121426820755
63,audio-mnist,ssh,31,76.04166666666666,0.43574389815330505
64,audio-mnist,cls,32,72.91666666666666,0.7051088809967041
65,audio-mnist,ssh,32,79.16666666666666,0.367879718542099
66,audio-mnist,cls,33,79.16666666666666,0.6795513033866882
67,audio-mnist,ssh,33,91.66666666666666,0.23310470581054688
68,audio-mnist,cls,34,87.5,0.516380250453949
69,audio-mnist,ssh,34,85.41666666666666,0.2995053827762604
70,audio-mnist,cls,35,83.33333333333334,0.6668655276298523
71,audio-mnist,ssh,35,84.375,0.3117079436779022
72,audio-mnist,cls,36,85.41666666666666,0.5179954171180725
73,audio-mnist,ssh,36,83.33333333333334,0.3540123999118805
74,audio-mnist,cls,37,84.375,0.5160014629364014
75,audio-mnist,ssh,37,79.16666666666666,0.427432656288147
76,audio-mnist,cls,38,82.29166666666666,0.48363110423088074
77,audio-mnist,ssh,38,81.25,0.3357851207256317
78,audio-mnist,cls,39,86.45833333333334,0.506751298904419
79,audio-mnist,ssh,39,70.83333333333334,0.6295871138572693
80,audio-mnist,cls,40,87.5,0.3754909038543701
81,audio-mnist,ssh,40,81.25,0.3278054893016815
82,audio-mnist,cls,41,82.29166666666666,0.5762627720832825
83,audio-mnist,ssh,41,78.125,0.49569594860076904
84,audio-mnist,cls,42,84.375,0.4647216796875
85,audio-mnist,ssh,42,82.29166666666666,0.321055144071579
86,audio-mnist,cls,43,88.54166666666666,0.3912159502506256
87,audio-mnist,ssh,43,82.29166666666666,0.3746802806854248
88,audio-mnist,cls,44,90.625,0.3254341185092926
89,audio-mnist,ssh,44,81.25,0.44807717204093933
90,audio-mnist,cls,45,90.625,0.30922970175743103
91,audio-mnist,ssh,45,80.20833333333334,0.2982146143913269
92,audio-mnist,cls,46,90.625,0.32698675990104675
93,audio-mnist,ssh,46,78.125,0.4018581807613373
94,audio-mnist,cls,47,91.66666666666666,0.27388691902160645
95,audio-mnist,ssh,47,73.95833333333334,0.3845987021923065
96,audio-mnist,cls,48,89.58333333333334,0.29400256276130676
