,dataset,type,step,accuracy,loss
0,audio-mnist,cls,0,10.9375,2.383692979812622
1,audio-mnist,ssh,0,47.91666666666667,1.1709142923355103
2,audio-mnist,cls,1,9.375,2.4551734924316406
3,audio-mnist,ssh,1,30.729166666666668,2.0184834003448486
4,audio-mnist,cls,2,8.333333333333332,2.416959047317505
5,audio-mnist,ssh,2,33.33333333333333,2.4204318523406982
6,audio-mnist,cls,3,13.020833333333334,2.4054341316223145
7,audio-mnist,ssh,3,26.041666666666668,2.816429853439331
8,audio-mnist,cls,4,11.979166666666668,2.332017660140991
9,audio-mnist,ssh,4,46.875,1.393776774406433
10,audio-mnist,cls,5,14.583333333333334,2.370656728744507
11,audio-mnist,ssh,5,74.47916666666666,1.0735769271850586
12,audio-mnist,cls,6,10.9375,2.2147693634033203
13,audio-mnist,ssh,6,81.25,0.8829712867736816
14,audio-mnist,cls,7,19.270833333333336,2.154834747314453
15,audio-mnist,ssh,7,80.72916666666666,0.9422646164894104
16,audio-mnist,cls,8,25.0,2.015637159347534
17,audio-mnist,ssh,8,78.125,1.0474510192871094
18,audio-mnist,cls,9,21.354166666666664,2.2122597694396973
19,audio-mnist,ssh,9,73.4375,1.5796455144882202
20,audio-mnist,cls,10,22.916666666666664,2.052795171737671
21,audio-mnist,ssh,10,80.72916666666666,0.8776512742042542
22,audio-mnist,cls,11,26.5625,2.0914509296417236
23,audio-mnist,ssh,11,80.20833333333334,0.7848966717720032
24,audio-mnist,cls,12,22.916666666666664,2.038104772567749
25,audio-mnist,ssh,12,72.91666666666666,1.1736080646514893
26,audio-mnist,cls,13,31.25,1.9446454048156738
27,audio-mnist,ssh,13,72.91666666666666,1.0547860860824585
28,audio-mnist,cls,14,29.6875,1.8939051628112793
29,audio-mnist,ssh,14,84.89583333333334,0.4573242664337158
30,audio-mnist,cls,15,38.54166666666667,1.8292875289916992
31,audio-mnist,ssh,15,73.4375,0.760417640209198
32,audio-mnist,cls,16,27.604166666666668,1.9245198965072632
33,audio-mnist,ssh,16,68.75,0.786566972732544
34,audio-mnist,cls,17,27.083333333333332,2.0304038524627686
35,audio-mnist,ssh,17,78.64583333333334,0.48152652382850647
36,audio-mnist,cls,18,31.25,1.9004849195480347
37,audio-mnist,ssh,18,77.08333333333334,0.49830183386802673
38,audio-mnist,cls,19,25.520833333333332,2.1280882358551025
39,audio-mnist,ssh,19,68.22916666666666,0.6774736046791077
40,audio-mnist,cls,20,29.6875,1.9356459379196167
41,audio-mnist,ssh,20,67.70833333333334,0.6758406162261963
42,audio-mnist,cls,21,36.97916666666667,1.7051845788955688
43,audio-mnist,ssh,21,78.125,0.45391106605529785
44,audio-mnist,cls,22,39.58333333333333,1.7221790552139282
45,audio-mnist,ssh,22,81.77083333333334,0.43933233618736267
46,audio-mnist,cls,23,30.729166666666668,1.8477150201797485
47,audio-mnist,ssh,23,78.64583333333334,0.4588998556137085
48,audio-mnist,cls,24,33.85416666666667,1.5958170890808105
49,audio-mnist,ssh,24,81.25,0.39405882358551025
50,audio-mnist,cls,25,40.10416666666667,1.7015875577926636
51,audio-mnist,ssh,25,83.85416666666666,0.39571499824523926
52,audio-mnist,cls,26,33.33333333333333,1.8487300872802734
53,audio-mnist,ssh,26,79.16666666666666,0.5583264827728271
54,audio-mnist,cls,27,36.97916666666667,1.6939235925674438
55,audio-mnist,ssh,27,78.125,0.5424966216087341
56,audio-mnist,cls,28,46.875,1.502772331237793
57,audio-mnist,ssh,28,83.33333333333334,0.3887596130371094
58,audio-mnist,cls,29,51.5625,1.4343887567520142
59,audio-mnist,ssh,29,84.375,0.3940577805042267
60,audio-mnist,cls,30,35.41666666666667,1.614195704460144
61,audio-mnist,ssh,30,80.72916666666666,0.48727795481681824
62,audio-mnist,cls,31,41.14583333333333,1.4739969968795776
63,audio-mnist,ssh,31,80.72916666666666,0.39683690667152405
64,audio-mnist,cls,32,46.875,1.3893762826919556
65,audio-mnist,ssh,32,79.6875,0.43209388852119446
66,audio-mnist,cls,33,48.95833333333333,1.4858769178390503
67,audio-mnist,ssh,33,82.29166666666666,0.3999885022640228
68,audio-mnist,cls,34,50.0,1.485376238822937
69,audio-mnist,ssh,34,84.375,0.3857046365737915
70,audio-mnist,cls,35,42.1875,1.5165681838989258
71,audio-mnist,ssh,35,79.16666666666666,0.48516595363616943
72,audio-mnist,cls,36,45.3125,1.434007167816162
73,audio-mnist,ssh,36,80.20833333333334,0.4426608383655548
74,audio-mnist,cls,37,53.125,1.3023163080215454
75,audio-mnist,ssh,37,77.08333333333334,0.4525409936904907
76,audio-mnist,cls,38,42.70833333333333,1.4801727533340454
77,audio-mnist,ssh,38,83.33333333333334,0.4171537458896637
78,audio-mnist,cls,39,48.4375,1.3528858423233032
79,audio-mnist,ssh,39,80.72916666666666,0.43894538283348083
80,audio-mnist,cls,40,45.83333333333333,1.369572639465332
81,audio-mnist,ssh,40,79.16666666666666,0.4896322190761566
82,audio-mnist,cls,41,40.10416666666667,1.4455680847167969
83,audio-mnist,ssh,41,79.6875,0.46683815121650696
84,audio-mnist,cls,42,54.6875,1.2483190298080444
85,audio-mnist,ssh,42,80.20833333333334,0.4144379198551178
86,audio-mnist,cls,43,56.25,1.2637883424758911
87,audio-mnist,ssh,43,80.72916666666666,0.4057197868824005
88,audio-mnist,cls,44,50.520833333333336,1.301977515220642
89,audio-mnist,ssh,44,79.16666666666666,0.4847850799560547
90,audio-mnist,cls,45,59.375,1.263317346572876
91,audio-mnist,ssh,45,80.72916666666666,0.4294706881046295
92,audio-mnist,cls,46,59.375,1.144360899925232
93,audio-mnist,ssh,46,80.20833333333334,0.4579481780529022
94,audio-mnist,cls,47,51.041666666666664,1.2539098262786865
95,audio-mnist,ssh,47,79.16666666666666,0.4540683329105377
96,audio-mnist,cls,48,52.083333333333336,1.2231388092041016
97,audio-mnist,ssh,48,82.29166666666666,0.43912777304649353
98,audio-mnist,cls,49,55.208333333333336,1.1853805780410767
99,audio-mnist,ssh,49,80.72916666666666,0.4011794626712799
100,audio-mnist,cls,50,63.020833333333336,1.0416228771209717
101,audio-mnist,ssh,50,85.9375,0.33994439244270325
102,audio-mnist,cls,51,60.416666666666664,1.0144751071929932
103,audio-mnist,ssh,51,83.85416666666666,0.35294756293296814
104,audio-mnist,cls,52,62.5,1.0060961246490479
105,audio-mnist,ssh,52,81.77083333333334,0.3862830400466919
106,audio-mnist,cls,53,66.66666666666666,1.0341815948486328
107,audio-mnist,ssh,53,83.33333333333334,0.4042644798755646
108,audio-mnist,cls,54,64.58333333333334,1.0609369277954102
109,audio-mnist,ssh,54,80.20833333333334,0.4306187331676483
110,audio-mnist,cls,55,67.1875,0.978646993637085
