,dataset,type,step,accuracy,loss
0,audio-mnist,cls,0,10.317460317460316,2.3655107021331787
1,audio-mnist,ssh,0,38.35978835978836,1.0967175960540771
2,audio-mnist,cls,1,11.11111111111111,2.283416509628296
3,audio-mnist,ssh,1,74.07407407407408,0.8092459440231323
4,audio-mnist,cls,2,15.873015873015872,2.236067056655884
5,audio-mnist,ssh,2,83.06878306878306,0.5187968611717224
6,audio-mnist,cls,3,8.73015873015873,2.3484504222869873
7,audio-mnist,ssh,3,85.97883597883597,0.40095505118370056
8,audio-mnist,cls,4,11.11111111111111,2.2394678592681885
9,audio-mnist,ssh,4,82.01058201058201,0.4439585506916046
10,audio-mnist,cls,5,16.666666666666664,2.1330690383911133
11,audio-mnist,ssh,5,83.33333333333334,0.45271092653274536
12,audio-mnist,cls,6,27.77777777777778,2.0398688316345215
13,audio-mnist,ssh,6,80.42328042328042,0.4432789981365204
14,audio-mnist,cls,7,26.190476190476193,2.0619213581085205
15,audio-mnist,ssh,7,78.83597883597884,0.5618503093719482
16,audio-mnist,cls,8,40.476190476190474,1.8190640211105347
17,audio-mnist,ssh,8,81.48148148148148,0.4602538049221039
18,audio-mnist,cls,9,40.476190476190474,1.637076735496521
19,audio-mnist,ssh,9,76.98412698412699,0.48572367429733276
20,audio-mnist,cls,10,38.095238095238095,1.749392032623291
21,audio-mnist,ssh,10,82.8042328042328,0.4601915180683136
22,audio-mnist,cls,11,53.17460317460318,1.4883898496627808
23,audio-mnist,ssh,11,75.92592592592592,0.5710956454277039
24,audio-mnist,cls,12,44.44444444444444,1.446333885192871
25,audio-mnist,ssh,12,78.83597883597884,0.43544986844062805
26,audio-mnist,cls,13,53.17460317460318,1.3297890424728394
27,audio-mnist,ssh,13,79.8941798941799,0.422055184841156
28,audio-mnist,cls,14,60.317460317460316,1.2432281970977783
29,audio-mnist,ssh,14,83.33333333333334,0.40653538703918457
30,audio-mnist,cls,15,56.34920634920635,1.2202576398849487
31,audio-mnist,ssh,15,79.8941798941799,0.42463868856430054
32,audio-mnist,cls,16,68.25396825396825,1.0437663793563843
33,audio-mnist,ssh,16,83.5978835978836,0.3687986731529236
34,audio-mnist,cls,17,64.28571428571429,1.0632838010787964
35,audio-mnist,ssh,17,84.12698412698413,0.3202418088912964
36,audio-mnist,cls,18,61.904761904761905,0.9896256327629089
37,audio-mnist,ssh,18,84.39153439153439,0.3247595429420471
38,audio-mnist,cls,19,62.698412698412696,0.9473568201065063
39,audio-mnist,ssh,19,78.3068783068783,0.3961922526359558
40,audio-mnist,cls,20,76.98412698412699,0.7768540382385254
41,audio-mnist,ssh,20,81.21693121693121,0.3385167717933655
42,audio-mnist,cls,21,71.42857142857143,0.755083441734314
43,audio-mnist,ssh,21,86.77248677248677,0.2868679165840149
44,audio-mnist,cls,22,79.36507936507937,0.6962664723396301
45,audio-mnist,ssh,22,89.68253968253968,0.22068746387958527
46,audio-mnist,cls,23,80.95238095238095,0.6235641241073608
47,audio-mnist,ssh,23,82.27513227513228,0.3813818395137787
48,audio-mnist,cls,24,80.95238095238095,0.550971508026123
49,audio-mnist,ssh,24,85.71428571428571,0.2670680582523346
50,audio-mnist,cls,25,82.53968253968253,0.6163386106491089
51,audio-mnist,ssh,25,80.42328042328042,0.350995272397995
52,audio-mnist,cls,26,91.26984126984127,0.4292975068092346
53,audio-mnist,ssh,26,84.12698412698413,0.3066237270832062
54,audio-mnist,cls,27,85.71428571428571,0.44058695435523987
55,audio-mnist,ssh,27,80.42328042328042,0.39641016721725464
56,audio-mnist,cls,28,85.71428571428571,0.3938259780406952
57,audio-mnist,ssh,28,82.53968253968253,0.3360001742839813
58,audio-mnist,cls,29,89.68253968253968,0.35421624779701233
59,audio-mnist,ssh,29,81.48148148148148,0.35666877031326294
60,audio-mnist,cls,30,92.06349206349206,0.31391409039497375
61,audio-mnist,ssh,30,80.15873015873017,0.37137171626091003
62,audio-mnist,cls,31,89.68253968253968,0.3567641079425812
63,audio-mnist,ssh,31,82.8042328042328,0.3161604404449463
64,audio-mnist,cls,32,86.5079365079365,0.36517566442489624
65,audio-mnist,ssh,32,84.92063492063492,0.3093111515045166
66,audio-mnist,cls,33,92.06349206349206,0.3235316872596741
67,audio-mnist,ssh,33,83.86243386243386,0.3110490143299103
68,audio-mnist,cls,34,92.85714285714286,0.256563663482666
69,audio-mnist,ssh,34,83.06878306878306,0.31502148509025574
70,audio-mnist,cls,35,95.23809523809523,0.25149139761924744
71,audio-mnist,ssh,35,81.48148148148148,0.3393939435482025
72,audio-mnist,cls,36,92.06349206349206,0.2692323327064514
73,audio-mnist,ssh,36,85.71428571428571,0.30152252316474915
74,audio-mnist,cls,37,90.47619047619048,0.24491508305072784
75,audio-mnist,ssh,37,80.42328042328042,0.36851364374160767
76,audio-mnist,cls,38,91.26984126984127,0.31175675988197327
77,audio-mnist,ssh,38,83.5978835978836,0.3124069571495056
78,audio-mnist,cls,39,88.09523809523809,0.28848597407341003
79,audio-mnist,ssh,39,79.62962962962963,0.3396534323692322
80,audio-mnist,cls,40,88.88888888888889,0.34344813227653503
81,audio-mnist,ssh,40,84.92063492063492,0.2820097506046295
82,audio-mnist,cls,41,94.44444444444444,0.18307799100875854
83,audio-mnist,ssh,41,84.39153439153439,0.2890663743019104
84,audio-mnist,cls,42,90.47619047619048,0.3374606966972351
85,audio-mnist,ssh,42,80.95238095238095,0.33746030926704407
86,audio-mnist,cls,43,91.26984126984127,0.22688719630241394
87,audio-mnist,ssh,43,82.53968253968253,0.33055344223976135
88,audio-mnist,cls,44,92.06349206349206,0.20804376900196075
89,audio-mnist,ssh,44,84.65608465608466,0.2625652849674225
90,audio-mnist,cls,45,92.85714285714286,0.24733348190784454
91,audio-mnist,ssh,45,84.65608465608466,0.29245123267173767
92,audio-mnist,cls,46,90.47619047619048,0.2747134268283844
93,audio-mnist,ssh,46,82.01058201058201,0.31121495366096497
94,audio-mnist,cls,47,92.85714285714286,0.2217826098203659
95,audio-mnist,ssh,47,84.12698412698413,0.3361245095729828
96,audio-mnist,cls,48,92.85714285714286,0.1851656287908554
97,audio-mnist,ssh,48,83.86243386243386,0.27221783995628357
98,audio-mnist,cls,49,89.68253968253968,0.2522646486759186
99,audio-mnist,ssh,49,79.8941798941799,0.3428509831428528
100,audio-mnist,cls,50,94.44444444444444,0.17998811602592468
101,audio-mnist,ssh,50,82.53968253968253,0.352305144071579
102,audio-mnist,cls,51,92.06349206349206,0.2364601492881775
103,audio-mnist,ssh,51,81.21693121693121,0.2808019518852234
104,audio-mnist,cls,52,94.44444444444444,0.16571873426437378
105,audio-mnist,ssh,52,84.92063492063492,0.2855288088321686
