,col1,col2,labels
0,-69.66666,-20.097988,8
1,-53.254818,-51.743988,5
2,-43.75868,-55.83962,0
3,-3.7722893,19.345043,6
4,-8.039089,0.3424247,3
5,-10.852,-15.060954,4
6,-32.684727,-58.893707,7
7,-23.849543,-40.545914,0
8,4.4275484,19.106018,3
9,-20.968338,-53.22157,1
10,-2.67798,-19.167984,1
11,-30.044298,-51.53466,9
12,6.6343336,-6.3913884,4
13,9.308398,-16.771175,1
14,-14.832288,-14.837973,5
15,-14.070035,-51.31968,8
16,-36.43756,-46.31954,4
17,-40.564354,-49.039196,9
18,-1.8164377,-25.644041,7
19,-34.642025,-12.225849,2
20,7.884314,-25.891481,6
21,-25.609344,-73.47809,4
22,-56.793877,-36.9603,8
23,-4.7047434,-13.569247,0
24,-21.831327,-29.136518,9
25,-24.3565,7.6125684,6
26,28.501402,-53.097702,8
27,-1.0972788,-68.86843,2
28,-45.200058,10.871552,8
29,-40.60554,-59.538967,5
30,-42.955215,7.942053,8
31,-57.791374,-49.592804,7
32,-2.4720619,-26.298138,2
33,-29.957615,-14.970067,2
34,-51.470325,12.830655,2
35,-5.6346583,6.1169696,7
36,4.662915,-5.98801,3
37,-43.199768,-40.437607,6
38,17.55519,-81.18154,2
39,8.995273,7.1621156,2
40,26.06238,2.3778348,6
41,2.4129508,2.0871978,2
42,-52.871838,-52.93892,9
43,-65.05917,-17.998955,5
44,11.00285,-12.572019,5
45,-2.280839,7.2888727,2
46,22.104662,-56.18106,3
47,-2.0105646,-28.471106,1
48,-33.319714,29.914333,3
49,-67.15533,-9.065049,1
50,-38.45403,-60.756104,3
51,-38.485447,-26.059464,5
52,-59.482338,-19.192493,5
53,2.3961859,-26.55995,5
54,-4.5694823,-24.001884,0
55,-13.637706,11.450011,5
56,-26.746109,0.14197075,6
57,-35.36173,4.060149,1
58,-14.071493,-20.776413,0
59,15.083044,31.623861,6
60,-18.55779,-56.281254,8
61,2.410339,-28.37938,1
62,-18.090727,-7.0863094,5
63,14.822185,-12.096458,2
64,-43.827892,-53.891773,8
65,-39.355934,-66.55241,4
66,-17.204166,-26.25558,3
67,-18.89318,-24.636312,7
68,-33.31899,-28.677036,9
69,12.080857,-4.962271,3
70,-10.338683,-9.203615,3
71,-11.191878,-10.31648,0
72,13.543511,-75.02229,8
73,-8.464087,-6.958352,3
74,6.199272,-27.191214,4
75,-71.76736,-6.086988,4
76,-4.365224,-3.8877294,3
77,-25.262398,0.54209006,0
78,15.389165,-14.713199,3
79,12.254896,-14.243509,6
80,1.0704646,-68.54647,5
81,-29.864565,-59.44537,8
82,-22.110003,-31.87146,5
83,-14.358399,-15.156009,0
84,-30.524328,-50.8232,4
85,3.9770293,2.3991914,6
86,-15.614565,-21.623112,4
87,-20.710712,-19.494488,5
88,0.5956304,-25.817442,7
89,-18.469864,-32.194637,3
90,-29.024836,-43.424072,7
91,-42.587997,-58.558674,8
92,-31.605896,-1.6344793,3
93,-31.329395,-66.88836,0
94,-1.470204,-24.531284,5
95,-56.90332,-0.71227926,1
96,-1.4809774,-67.90689,1
97,-37.854885,-49.519344,4
98,-21.922062,-0.8366207,5
99,-9.207084,15.632621,6
100,-39.38742,-8.4140415,8
101,-19.086294,-50.40065,7
102,-54.64454,-4.4306135,9
103,-28.138159,-50.468388,7
104,1.868326,-22.941374,9
105,-17.091743,30.059082,8
106,-23.507885,-41.18888,4
107,-67.65896,-22.041903,9
108,-22.114162,-34.24501,9
109,-52.002575,-52.174305,5
110,-5.0051317,-8.163077,3
111,-66.59543,-2.7654738,8
112,-14.663812,-6.1693,2
113,6.702622,-9.561935,4
114,-40.227524,-67.053566,0
115,-64.41897,-18.22992,8
116,10.063796,-17.812473,1
117,0.7633653,-25.475729,1
118,0.61902153,-18.731958,2
119,-52.652534,-33.63811,2
120,-34.283184,-43.738068,5
121,-25.683905,-21.249834,7
122,-41.397713,-8.43007,4
123,-66.5585,-2.630895,1
124,-44.261078,-18.262405,8
125,-24.312412,-17.144432,0
126,-30.27828,-52.298977,0
127,-44.072704,19.893532,9
128,-56.20307,-47.06691,4
129,-45.275497,18.414669,1
130,-6.926335,-16.195837,3
131,-0.23443805,8.04245,1
132,-40.280533,-49.06009,9
133,-19.917734,-35.44028,3
134,-34.036114,-66.454216,5
135,16.558489,22.167221,6
136,2.2490683,-7.0480776,4
137,-26.472569,1.458627,4
138,-13.960443,-77.018585,1
139,-23.575588,-69.83182,9
140,-41.57306,-62.61884,7
141,-47.378708,13.985625,8
142,-38.924618,-31.77315,4
143,-6.7779274,17.343782,5
144,2.4485497,-44.025494,5
145,-34.27991,-30.7932,7
146,-38.73114,-6.1750813,4
147,-20.333284,-51.484043,1
148,4.2759705,-24.024815,3
149,-24.17683,-45.58637,7
150,-7.3729,-76.72725,9
151,-4.6472616,-15.308352,4
152,-15.163724,8.296571,3
