,col1,col2,label,source
0,18.364084,-53.48144,three,train
1,-34.909203,-59.229576,two,train
2,-13.416303,-43.09112,two,train
3,6.913635,-58.276237,three,train
4,3.4802606,-59.947357,eight,train
5,-11.799137,68.52077,five,train
6,61.95856,-31.027546,zero,train
7,50.94567,-1.1807358,seven,train
8,-35.734055,-48.984737,nine,train
9,33.97988,-49.55387,eight,train
10,-3.7586775,-64.564705,one,train
11,-11.357563,-6.3906236,zero,train
12,0.50688,5.6872063,eight,train
13,47.604103,-33.85643,three,train
14,60.441147,-19.365143,four,train
15,4.180981,-30.552189,eight,train
16,50.853134,-17.829552,two,train
17,-41.95438,-44.160538,seven,train
18,30.845003,-58.63883,seven,train
19,-14.863467,-61.678925,one,train
20,14.687347,-56.736317,two,train
21,21.626558,-61.098515,zero,train
22,-3.5575364,-43.7428,seven,train
23,-3.6595275,-48.801105,nine,train
24,6.347489,-62.360794,one,train
25,-42.698986,-43.956234,seven,train
26,-28.829607,-62.20216,nine,train
27,51.741566,-16.585426,three,train
28,66.51553,-34.60168,six,train
29,2.0543652,30.479336,seven,train
30,-3.199121,-54.037872,one,train
31,-40.066303,-52.160336,two,train
32,-31.80897,-59.72362,nine,train
33,-20.939634,-42.581703,zero,train
34,-14.649692,70.11193,five,train
35,-0.51815534,7.322291,six,train
36,6.8367395,-60.99782,six,train
37,59.495693,8.435056,two,train
38,28.685871,-11.162314,seven,train
39,1.4976218,-63.838448,five,train
40,-10.277404,-7.6522517,two,train
41,39.638477,-48.579582,one,train
42,-2.9345412,5.1632576,four,train
43,47.700836,-30.52027,three,train
44,-42.638744,-56.27284,one,train
45,43.53627,-21.868681,four,train
46,-43.38779,-37.463306,two,train
47,16.465002,33.131306,four,train
48,-69.979065,-4.7366815,nine,train
49,-54.3729,32.52817,seven,train
50,15.322769,-61.272865,three,train
51,4.9900274,75.76814,five,train
52,27.300177,-60.862827,one,train
53,-8.625422,-6.073234,four,train
54,-65.71161,-2.0655966,seven,train
55,-14.290743,-48.567574,zero,train
56,-23.917706,-55.68006,six,train
57,53.255814,44.465664,four,train
58,51.130863,-10.951898,four,train
59,-53.027973,-40.848526,four,train
60,-19.386074,-59.59217,zero,train
61,17.329067,-57.054733,one,train
62,69.98358,21.084522,two,train
63,-15.946828,-58.138023,nine,train
64,35.33887,-47.316322,nine,train
65,-36.08471,-41.019676,zero,train
66,48.751564,-38.566216,eight,train
67,-1.2526857,-0.7126416,two,train
68,-55.535076,-28.902721,two,train
69,-6.2338395,-47.165512,one,train
70,36.07781,-61.148125,five,train
71,1.282247,-0.9848936,six,train
72,-21.590172,-32.302998,eight,train
73,-3.604975,3.3849757,six,train
74,4.1220803,6.511924,six,train
75,14.133742,-51.899918,nine,train
76,51.8347,-18.966364,zero,train
77,52.109497,1.2320746,seven,train
78,29.78465,-40.257706,eight,train
79,-11.656296,-57.280582,one,train
80,14.704572,-54.602848,six,train
81,65.76933,-2.928777,zero,train
82,-18.442955,-57.45413,nine,train
83,-20.89214,-28.235243,four,train
84,60.085052,-19.99113,seven,train
85,-45.48677,-42.524014,two,train
86,-49.686245,-24.672583,six,train
87,56.61701,4.256597,three,train
88,-10.211865,-42.041157,seven,train
89,33.66935,-32.543983,four,train
90,6.2627673,-58.10783,two,train
91,7.34392,3.2568154,four,train
92,-56.368126,-43.58521,zero,train
93,-0.675294,0.2929636,six,train
94,-34.78231,-56.5535,nine,train
95,-41.607555,-15.47138,eight,train
96,-42.85804,0.18758366,nine,train
97,-41.414093,-10.353372,six,train
98,-46.73149,-45.306885,zero,train
99,-58.83778,15.3289585,one,train
100,50.71396,-38.085087,four,train
101,-14.596441,70.07171,five,train
102,53.608276,-13.122686,one,train
103,-3.145339,-61.888195,one,train
104,75.012764,13.916734,five,train
105,-52.898106,-36.973625,zero,train
106,52.972084,24.690868,four,train
107,-10.4972925,-45.126297,zero,train
108,43.204926,-27.847641,two,train
109,-30.50495,-33.467987,zero,train
110,-34.461063,-42.365276,eight,train
111,-54.624435,23.931417,five,train
112,19.900486,-74.80265,seven,train
113,-12.464405,-73.99677,seven,train
114,-10.76908,-33.05843,one,train
115,-37.138985,-38.820908,nine,train
116,25.63313,-25.46516,seven,train
