,col1,col2,label,source
0,36.445248,-40.555656,three,train
1,43.36854,-17.880568,two,train
2,4.5133095,71.7804,two,train
3,55.02396,-25.005127,three,train
4,57.591198,-34.95194,eight,train
5,28.011993,-16.097357,five,train
6,49.673073,35.794598,zero,train
7,80.506065,-1.1481428,seven,train
8,64.983444,11.0471,nine,train
9,-48.29624,1.3010038,eight,train
10,60.87095,6.244782,one,train
11,21.729797,33.014183,zero,train
12,53.545673,-43.08309,eight,train
13,21.816343,34.12178,three,train
14,78.67414,-3.2897375,four,train
15,13.829714,43.833885,eight,train
16,71.86407,-5.5385256,two,train
17,73.83182,-9.501698,seven,train
18,62.499355,14.375556,seven,train
19,59.574837,18.393833,one,train
20,37.012753,-41.078182,two,train
21,25.20631,25.08406,zero,train
22,56.313473,29.247387,seven,train
23,62.63259,14.417552,nine,train
24,49.694378,-42.9664,one,train
25,50.611874,16.455385,seven,train
26,48.077374,-38.76956,nine,train
27,-4.325654,48.849705,three,train
28,-2.0659251,-24.2605,six,train
29,28.482243,-45.597267,seven,train
30,35.347286,-15.810228,one,train
31,-7.119012,49.644886,two,train
32,3.3871267,51.74834,nine,train
33,42.40265,21.822489,zero,train
34,42.594593,29.054693,five,train
35,14.048031,18.216894,six,train
36,77.82997,0.92087656,six,train
37,56.273373,-13.147303,two,train
38,49.846283,35.296204,seven,train
39,61.24454,5.9608445,five,train
40,16.922438,14.832635,two,train
41,50.222885,52.111763,one,train
42,29.545082,-9.733082,four,train
43,39.049114,-22.514349,three,train
44,28.07062,50.475998,one,train
45,22.661032,-37.96775,four,train
46,61.86832,-35.170673,two,train
47,18.04732,-20.792284,four,train
48,28.258314,-21.659344,nine,train
49,51.11397,-24.26466,seven,train
50,46.60322,-31.908613,three,train
51,35.481552,-6.876374,five,train
52,18.046625,34.850945,one,train
53,55.37225,1.7272761,four,train
54,60.609524,9.259497,seven,train
55,48.339336,36.445408,zero,train
56,22.902328,59.589024,six,train
57,28.557148,-27.668219,four,train
58,59.151398,9.866074,four,train
59,65.53714,-14.967561,four,train
60,49.454136,36.43084,zero,train
61,14.53123,43.29854,one,train
62,32.12154,-30.507145,two,train
63,61.76244,14.113118,nine,train
64,47.656746,-28.587967,nine,train
65,69.071304,12.318751,zero,train
66,43.66727,-9.686755,eight,train
67,44.426685,-42.458866,two,train
68,37.764927,-18.909113,two,train
69,38.798027,-22.575596,one,train
70,49.496346,35.595318,five,train
71,2.0995412,-32.469727,six,train
72,76.92455,-3.8859901,eight,train
73,58.07595,3.528472,six,train
74,26.876513,-15.7784395,six,train
75,2.2723594,45.910416,nine,train
76,42.261436,-34.506123,zero,train
77,67.18247,-10.790851,seven,train
78,11.689855,44.8655,eight,train
79,3.3157961,45.69242,one,train
80,14.597024,-29.999846,six,train
81,60.279217,7.3111043,zero,train
82,29.151684,34.753384,nine,train
83,11.419007,-20.657936,four,train
84,75.87712,14.005428,seven,train
85,20.794777,35.169357,two,train
86,11.804237,17.069975,six,train
87,31.676426,39.880116,three,train
88,65.39155,-5.06678,seven,train
89,65.607086,-14.961207,four,train
90,2.794718,50.224995,two,train
91,76.4173,-5.847369,four,train
92,50.804672,48.27183,zero,train
93,12.826282,3.7161915,six,train
94,23.008999,45.45481,nine,train
95,71.950836,-5.5811634,eight,train
96,50.30464,2.4075758,nine,train
97,59.407177,8.385857,six,train
98,74.49922,24.251245,zero,train
99,68.49503,-5.4290304,one,train
100,-22.136639,64.40418,four,train
101,45.030712,57.933674,five,train
102,76.60023,-4.088569,one,train
103,-28.453243,62.914997,one,train
104,55.365376,0.92370373,five,train
105,35.134438,27.148056,zero,train
106,35.00514,-21.735062,four,train
107,53.87025,29.73541,zero,train
108,10.71125,57.588238,two,train
109,28.949188,63.186066,zero,train
110,-7.089863,61.587868,eight,train
111,68.52001,-5.4123073,five,train
112,50.737278,22.684702,seven,train
113,57.883484,-33.275543,seven,train
114,45.703842,58.368126,one,train
115,66.805214,-17.79767,nine,train
116,36.5863,41.220142,seven,train
117,43.55372,45.105362,five,train
118,30.517654,46.24207,eight,train
119,17.832195,70.18258,zero,train
120,22.05271,8.2047825,six,train
