,col1,col2,label
0,2.7675767,15.673188,3
1,-23.102386,-12.13729,2
2,19.3515,-39.40551,2
3,-2.425807,-70.152054,3
4,-22.217442,-14.744955,8
5,-9.572595,7.753192,5
6,-29.492413,-20.210304,0
7,3.2434828,12.82747,7
8,6.8920016,-20.702166,9
9,-4.119745,-59.04123,8
10,-35.935528,-24.378614,1
11,-7.4341035,15.902924,0
12,-16.018993,-1.4697096,8
13,-11.556653,-66.92281,3
14,-7.6777525,-56.67727,4
15,-24.512522,-25.500387,8
16,-24.055134,-37.000263,2
17,-1.5568295,-66.49184,7
18,-4.4508862,-37.566193,7
19,-44.48169,-33.013687,1
20,-25.289547,-25.52005,2
21,-23.218739,7.5154,0
22,-23.345953,-31.175896,7
23,-8.5878,-66.04264,9
24,-14.560278,-27.136723,1
25,-27.985231,-41.911507,7
26,38.771324,-27.11503,9
27,-24.813848,3.1611595,3
28,-54.457718,0.667093,6
29,-35.384712,7.9114556,7
30,-11.885316,-60.239113,1
31,-26.200062,-44.984276,2
32,22.339926,-46.90618,9
33,-28.511818,-41.275055,0
34,-29.816406,-19.787916,5
35,-37.949615,-1.1137898,6
36,-18.083406,-11.217365,6
37,-34.522644,-4.62464,2
38,-26.635021,-42.780212,7
39,-14.258861,-67.66586,5
40,-34.965736,-5.097581,2
41,-4.2138605,-37.708946,1
42,8.209029,-1.9442337,4
43,-28.258863,9.534381,3
44,31.41993,-43.242165,1
45,9.477212,-16.25292,4
46,35.29631,-50.718403,2
47,-10.067367,-70.18727,4
48,-30.90739,20.260633,9
49,-27.407549,0.26104674,7
50,-4.6619806,-34.307537,3
51,-25.248024,-44.286095,5
52,2.9981165,-42.356285,1
53,13.532364,18.147774,4
54,-24.058086,15.656881,7
55,-1.8439779,-64.98267,0
56,39.986042,-47.031048,6
57,-22.590967,-12.682125,4
58,42.452667,-31.81354,4
59,-28.413252,9.527539,4
60,-25.26877,-44.67437,0
61,-26.344955,-36.473232,1
62,-23.758453,-37.250763,2
63,29.015423,-45.906746,9
64,-10.876614,-69.52875,9
65,-28.215492,-30.973671,0
66,-22.017775,-43.249916,8
67,-2.0105715,-38.17895,2
68,55.50216,-15.451546,2
69,52.83426,-40.878746,1
70,64.31777,-27.536478,5
71,-22.145163,-0.47902098,6
72,-11.22539,-61.7419,8
73,-10.125048,-14.314816,6
74,-18.972157,10.652777,6
75,-3.1929429,-66.07165,9
76,13.509228,18.139894,0
77,-23.202389,-8.569302,7
78,37.189663,-30.680319,8
79,-12.150135,-45.571865,1
80,-8.531395,7.577303,6
81,-25.351767,-11.327385,0
82,-34.662376,-24.167414,9
83,38.2774,-24.03005,4
84,-37.086353,-27.874344,7
85,-26.661585,-22.85448,2
86,10.532051,-41.379128,6
87,-26.543207,9.365965,3
88,-25.299492,4.447542,7
89,-36.04069,-36.898193,4
90,46.31643,-56.35122,2
