,col1,col2,label,source
0,-22.776085,-5.4789996,frog,train
1,32.167217,19.487347,truck,train
2,47.039856,46.36654,truck,train
3,-59.515854,9.1791,deer,train
4,-6.640301,48.89163,automobile,train
5,-22.34305,3.9662607,automobile,train
6,-11.447489,-1.8018599,bird,train
7,4.19526,-12.257021,horse,train
8,34.203575,-49.696507,ship,train
9,-39.65859,37.331543,cat,train
10,-52.91903,16.933403,deer,train
11,55.830418,5.9047737,horse,train
12,30.872114,41.32366,horse,train
13,-75.7725,-5.7927384,bird,train
14,-27.004412,29.94101,truck,train
15,37.312756,17.487665,truck,train
16,51.553387,40.32079,truck,train
17,-59.43885,-7.4116683,cat,train
18,30.882885,10.165226,bird,train
19,-10.242302,-25.631071,frog,train
20,46.60028,-38.79427,deer,train
21,-24.51555,3.0016623,cat,train
22,-63.518665,11.15985,frog,train
23,-24.38569,7.4274,frog,train
24,-31.870037,27.711079,bird,train
25,32.219368,-3.291143,frog,train
26,-20.062239,49.7298,cat,train
27,-60.545986,22.154186,dog,train
28,7.7880325,-9.368195,deer,train
29,56.740192,0.8567368,airplane,train
30,-3.0165055,14.107264,airplane,train
31,42.104046,34.161182,truck,train
32,-50.058243,3.4238837,automobile,train
33,-45.813725,-19.742548,cat,train
34,-5.6737137,-5.7248607,deer,train
35,-10.642287,50.335384,airplane,train
36,29.218836,-30.624733,cat,train
37,-30.712734,-2.8582702,horse,train
38,37.590176,32.51281,cat,train
39,-40.672012,-11.368453,cat,train
40,-12.172076,18.885355,dog,train
41,42.49271,-35.04202,bird,train
42,5.384528,-19.095575,bird,train
43,34.059097,-19.877947,horse,train
44,-3.2296762,39.55714,automobile,train
45,-28.933558,33.141056,automobile,train
46,-43.13076,-10.426618,automobile,train
47,-5.108052,27.760546,bird,train
48,43.45586,-35.76538,bird,train
49,55.55663,-30.975103,airplane,train
50,-52.479656,-32.118546,truck,train
51,-14.159112,7.3216805,dog,train
52,-32.752808,-36.996403,horse,train
53,55.64269,-2.5013382,truck,train
54,-55.012886,12.18283,bird,train
55,23.593163,-14.826295,bird,train
56,-36.79421,-29.891197,dog,train
57,-47.855125,31.75671,bird,train
58,-19.414845,-2.8553429,deer,train
59,10.896345,50.545864,cat,train
60,-2.3764288,40.086536,automobile,train
61,15.827538,-19.549742,automobile,train
62,2.9041154,31.441534,ship,train
63,-53.881733,26.944052,bird,train
64,-13.609648,30.434074,automobile,train
65,20.759811,-19.950914,automobile,train
66,-8.907958,-1.7135806,deer,train
67,54.64897,38.505013,truck,train
68,-36.21001,48.427296,horse,train
69,27.18076,30.239529,ship,train
70,-0.6036968,10.230729,dog,train
71,-43.438053,21.893587,truck,train
72,16.29446,7.5047708,frog,train
73,-50.31637,16.553114,horse,train
74,16.226215,-12.109921,cat,train
75,-7.5981417,12.217939,automobile,train
76,40.047134,20.800333,truck,train
77,-18.908337,32.564156,airplane,train
78,-19.725142,-21.745613,cat,train
79,46.16211,-35.783585,automobile,train
80,9.923337,-3.6646261,cat,train
81,-30.486513,-32.425274,dog,train
82,-12.83,-6.065946,deer,train
83,26.111048,13.8144455,dog,train
84,-54.30736,-45.54591,horse,train
85,-74.656975,6.088168,horse,train
86,-34.455734,-25.561142,deer,train
87,-18.736332,-31.937382,horse,train
88,-45.670685,17.034447,truck,train
89,18.250832,36.446133,deer,train
90,7.574377,-14.144409,bird,train
91,-8.836616,16.85813,cat,train
92,34.877113,-39.375313,ship,train
93,-6.3182187,37.101585,airplane,train
94,30.90921,32.255993,automobile,train
95,24.604822,-32.017513,frog,train
96,-19.317156,32.63955,automobile,train
97,-28.948797,19.794214,automobile,train
98,-21.13966,-4.794788,deer,train
99,-42.308773,9.700073,automobile,train
100,63.012726,-2.8865297,ship,train
101,-24.129162,26.575855,cat,train
102,7.538665,4.6833787,truck,train
103,-56.628517,-6.3573065,frog,train
104,-66.22738,10.8865185,frog,train
105,62.51346,-14.353813,automobile,train
106,5.2182775,25.250574,ship,train
107,-25.65783,-4.706212,dog,train
108,50.542362,-30.399593,bird,train
109,42.34541,20.11381,truck,train
110,22.587267,6.597123,truck,train
111,-0.9127456,25.524504,ship,train
112,0.25388852,47.12986,automobile,train
113,19.74776,32.177643,horse,train
114,13.749675,-35.56357,horse,train
115,59.891598,9.226879,airplane,train
116,1.6714923,36.594875,airplane,train
117,2.7724261,8.419685,frog,train
118,64.31699,-10.192054,truck,train
119,75.27203,17.743313,automobile,train
120,30.013807,-23.104612,bird,train
121,-9.940267,3.0445857,bird,train
122,50.131573,41.682426,truck,train
123,40.47297,-22.781654,bird,train
124,-35.230442,35.948174,frog,train
125,47.59433,-14.835495,frog,train
126,53.636868,31.229422,automobile,train
127,54.47059,10.31191,truck,train
128,-26.411852,-28.003845,dog,train
129,40.0909,-41.730217,airplane,train
130,-0.655786,-21.30412,deer,train
131,65.297356,-7.519542,horse,train
132,-55.015015,1.0372953,frog,train
133,7.4925256,-17.47569,horse,train
134,-76.3502,19.418356,automobile,train
135,7.116421,45.159584,ship,train
136,-41.767815,21.910812,automobile,train
137,44.217247,9.97155,automobile,train
138,43.116955,-29.03525,bird,train
139,40.248306,37.77503,ship,train
140,37.829628,-5.867157,automobile,train
141,-9.669615,-16.234303,cat,train
142,-57.30833,-27.655722,cat,train
143,4.2155414,-2.8131604,frog,train
144,39.141552,-3.3278208,bird,train
145,-52.132202,-6.5277114,deer,train
146,-33.490086,-7.8392434,truck,train
147,27.490578,11.639741,truck,train
148,7.9809885,11.987998,dog,train
149,-0.76813406,-35.250935,deer,train
150,-1.6963518,-6.964533,cat,train
151,0.19661471,-26.173372,frog,train
152,15.7485,49.054977,horse,train
153,14.443032,-42.724567,deer,train
154,52.496807,13.403954,frog,train
155,54.103535,-7.5579777,ship,train
156,5.824496,-35.261322,dog,train
157,-45.79905,-26.179684,dog,train
158,-33.21995,-20.625114,deer,train
159,-12.210244,46.937492,cat,train
160,69.02108,-9.300566,automobile,train
161,39.70942,21.1995,ship,train
162,-73.791374,16.010328,deer,train
163,-54.67741,4.1834536,horse,train
164,-56.027683,-30.118656,frog,train
165,43.084118,36.878487,airplane,train
166,2.6588085,-6.211335,truck,train
167,0.05685583,-13.691394,dog,train
168,-42.824947,33.772964,automobile,train
169,25.213406,-2.5420656,cat,train
170,8.503086,46.254093,ship,train
171,-6.607809,-31.453667,bird,train
172,27.293749,43.38188,horse,train
173,-37.07055,30.769474,dog,train
174,21.692726,-0.5364384,cat,train
175,-45.84924,-39.32596,deer,train
176,-5.9839973,10.1695175,automobile,train
177,-43.261078,-4.2184052,dog,train
178,-28.631256,9.9426155,horse,train
179,-66.57862,15.564495,airplane,train
180,-52.514706,13.1921215,deer,train
181,-4.86416,19.02163,horse,train
182,-9.011662,-50.741898,dog,train
183,-12.719086,-22.85671,dog,train
184,-42.432037,26.523802,automobile,train
185,55.463715,25.79213,airplane,train
186,-16.658924,-11.29988,truck,train
187,-38.340336,8.0915985,frog,train
188,43.768948,27.784777,truck,train
189,19.802362,-15.8003435,airplane,train
190,50.44478,15.697409,ship,train
191,50.02448,-36.63667,horse,train
192,54.32563,25.813643,ship,train
193,44.23373,19.288921,ship,train
194,38.040264,-36.70682,bird,train
195,-15.555527,-26.57208,dog,train
196,-36.710655,27.426975,bird,train
197,-45.577023,-19.40458,cat,train
198,-77.370705,16.889336,dog,train
199,47.41378,21.105606,airplane,train
200,-13.756666,-21.20547,frog,train
201,-46.100567,23.894323,automobile,train
202,49.89856,-16.914701,truck,train
203,51.877316,-23.579699,cat,train
204,-15.807949,9.219685,frog,train
205,30.93235,57.431396,truck,train
206,32.10407,26.143808,automobile,train
207,59.067577,-14.191656,cat,train
208,49.822357,-9.958639,truck,train
209,18.545214,-28.54497,frog,train
210,25.802021,-28.450865,frog,train
211,14.871382,34.288292,horse,train
212,-44.059353,-43.087204,automobile,train
213,42.759167,-49.611355,airplane,train
214,22.308426,32.262756,truck,train
215,-55.80912,-35.12596,dog,train
216,25.551584,10.567556,ship,train
217,-27.47682,-28.773474,dog,train
218,-33.789158,44.405094,bird,train
219,53.970627,13.55383,truck,train
220,-4.379228,28.485779,airplane,train
221,67.30089,11.128593,ship,train
222,3.2959561,30.248907,ship,train
223,48.77213,18.742546,airplane,train
224,-43.027054,-7.7807484,frog,train
225,36.489944,43.96785,truck,train
226,66.38258,-14.4309225,automobile,train
227,14.025715,-28.26402,automobile,train
228,-18.374659,3.9484994,frog,train
229,-9.468132,-53.6965,cat,train
230,-16.35912,30.87084,horse,train
231,37.763668,-31.0993,frog,train
232,-30.622734,9.568394,frog,train
233,-17.662615,40.667236,airplane,train
234,-35.736877,22.925436,frog,train
235,11.733169,8.140543,frog,train
236,-5.7480035,22.158934,automobile,train
237,6.7539454,-41.312706,horse,train
238,32.551304,22.053871,automobile,train
239,-15.927073,-26.345892,dog,train
240,57.03459,8.978304,ship,train
241,-4.320105,-14.294809,cat,train
242,-16.485033,-8.093683,frog,train
243,-49.35261,-25.078533,frog,train
244,17.670755,-20.472374,ship,train
245,-57.516136,-7.454338,frog,train
246,34.03889,14.968766,ship,train
247,-36.426243,-46.513588,deer,train
248,0.92089075,5.1558123,frog,train
249,-78.09895,1.4337164,frog,train
250,-17.85953,38.15267,automobile,train
251,15.470995,30.033207,cat,train
252,38.12664,17.648535,ship,train
253,-0.7037935,4.273746,cat,train
254,3.2287107,-34.28784,deer,train
255,-11.416328,49.5317,automobile,train
256,21.641876,30.237673,horse,train
257,-13.777334,40.17374,automobile,train
258,-61.917072,-12.980132,cat,train
259,30.5522,56.115192,ship,train
260,11.360404,-4.231862,dog,train
261,-30.4124,-26.494188,automobile,train
262,39.299576,25.40079,automobile,train
263,-37.86891,25.446703,deer,train
264,39.43064,-36.600063,airplane,train
265,38.842056,44.126175,truck,train
266,57.178696,-31.229073,cat,train
267,-16.17936,37.250263,horse,train
268,-36.682137,-40.823853,deer,train
269,42.320045,28.312803,truck,train
270,49.899307,39.01875,truck,train
271,14.617015,36.48767,bird,train
272,8.073834,-36.24594,deer,train
273,-27.43353,26.03679,truck,train
274,-0.9647633,52.131382,truck,train
275,-45.509586,25.62504,automobile,train
276,21.4436,-55.89871,airplane,train
277,-46.807552,1.7017542,dog,train
278,45.301987,44.74395,truck,train
279,19.242462,-31.805859,airplane,train
280,68.91268,5.022321,ship,train
281,37.804874,-47.23408,bird,train
282,-8.043317,5.2408266,automobile,train
283,-27.393272,16.31512,bird,train
284,64.26308,1.0601454,airplane,train
285,-48.286396,0.9100582,dog,train
286,-22.969406,9.122119,frog,train
287,8.005476,-3.4249554,cat,train
288,37.906723,-35.611706,bird,train
289,28.95908,5.394503,horse,train
290,68.52482,8.089327,ship,train
291,-41.32314,-41.379635,ship,train
292,-37.864716,-46.315445,frog,train
293,3.6179094,19.438377,airplane,train
294,-2.0599637,-19.324259,horse,train
295,47.62922,46.189735,truck,train
296,40.652836,-2.4135225,deer,train
297,-29.72511,-22.414211,dog,train
298,-64.704994,-3.2403467,frog,train
299,-16.773548,9.789521,deer,train
300,-19.439615,9.9584675,bird,train
301,-7.656457,5.135921,automobile,train
302,2.9146426,38.705257,automobile,train
303,24.335264,-45.583344,bird,train
304,-16.720129,-31.106913,automobile,train
305,-10.383121,5.209791,dog,train
306,-29.045038,-13.54726,truck,train
307,-25.030602,-6.7492747,truck,train
308,26.64787,22.41778,airplane,train
309,38.985672,20.886442,ship,train
310,69.01067,11.810262,deer,train
311,0.9251227,36.34251,automobile,train
312,-12.862871,31.528612,automobile,train
313,-17.319918,18.879234,frog,train
314,-36.772717,4.4426475,cat,train
315,56.960743,-20.677706,cat,train
316,38.071682,48.302822,truck,train
317,62.802242,-33.376163,airplane,train
318,27.602,4.2592993,horse,train
319,52.83756,-13.689436,truck,train
320,-50.125603,-33.189117,horse,train
321,-77.07553,14.194052,horse,train
322,-43.45467,23.64552,truck,train
323,74.20963,4.341279,automobile,train
324,-50.555515,-10.462186,dog,train
325,-51.305325,4.6975546,automobile,train
326,45.26695,-18.936636,frog,train
327,-31.277765,-22.409248,frog,train
328,3.820369,33.44917,ship,train
329,46.34735,-2.5137024,horse,train
330,2.5167592,-6.5969644,automobile,train
331,-1.7614706,10.941611,cat,train
332,-11.434568,9.51896,airplane,train
333,9.292048,56.00903,cat,train
334,-71.07276,-1.0512792,cat,train
335,31.747133,-12.361897,bird,train
336,-31.578735,-11.947953,deer,train
337,1.1077677,-9.0882,dog,train
338,1.8692049,55.20505,horse,train
339,2.3756118,6.290811,dog,train
340,14.087327,-6.154056,truck,train
341,45.58115,-30.787762,airplane,train
342,-57.65724,-15.901138,cat,train
343,-50.9116,-38.112362,deer,train
344,43.139572,-46.563057,airplane,train
345,-2.1467302,-2.4490817,deer,train
346,-10.068426,-0.45175985,deer,train
347,-38.4798,10.544771,frog,train
348,33.992466,-46.976368,airplane,train
349,7.55106,-38.161484,airplane,train
350,-26.805073,-50.872562,frog,train
351,-68.52911,28.917274,frog,train
352,50.930138,11.565315,airplane,train
353,65.31026,-4.068023,ship,train
354,-39.60758,-3.4288332,automobile,train
355,15.597898,-48.959755,frog,train
356,0.90837395,-35.145725,bird,train
357,-44.867306,6.0015397,truck,train
358,-49.474632,-37.52286,bird,train
359,-58.374996,2.6230397,dog,train
360,57.462425,-21.129074,truck,train
361,-45.220142,-42.607876,frog,train
362,5.2308593,13.889987,horse,train
363,-34.722115,-28.168257,deer,train
364,51.195095,-12.099879,automobile,train
365,-0.1643267,30.510992,ship,train
366,-3.1683376,23.705929,horse,train
367,12.883143,9.168326,cat,train
368,-49.604824,-3.7246056,frog,train
369,17.708744,-39.525803,truck,train
370,51.584557,-23.513464,cat,train
371,60.265682,-35.334167,airplane,train
372,-29.033966,0.7505484,deer,train
373,3.8827548,-41.401752,airplane,train
374,-58.163986,-9.409624,dog,train
375,32.226044,25.53703,automobile,train
376,59.126644,18.78432,airplane,train
377,23.691957,-32.54842,cat,train
378,-24.48862,20.071722,deer,train
379,46.211292,18.211681,ship,train
380,-17.743544,-12.314606,dog,train
381,-18.440939,1.425878,deer,train
382,-33.23114,-28.453573,horse,train
383,13.466788,-32.89252,bird,train
384,-19.625648,-37.54211,cat,train
385,24.145727,-4.9229617,truck,train
386,-10.853945,7.0809107,horse,train
387,-19.361256,1.5416543,frog,train
388,37.105225,-16.649662,horse,train
389,-42.210777,-30.076143,automobile,train
390,9.270447,48.79147,deer,train
391,-44.220913,-40.38497,horse,train
392,1.7970887,-27.818079,airplane,train
393,44.15489,29.826916,automobile,train
394,3.7468188,6.8773465,horse,train
395,9.115074,-2.1374996,cat,train
396,-52.12277,4.5936813,automobile,train
397,36.21571,-53.180965,ship,train
398,1.390193,-22.598038,deer,train
399,-34.095562,-8.232485,deer,train
400,-65.73528,26.66118,bird,train
401,58.432407,17.15526,airplane,train
402,28.369959,-38.59935,bird,train
403,21.404589,-32.410976,bird,train
404,56.81504,3.5230315,airplane,train
405,-72.73561,-8.182127,airplane,train
406,51.76441,25.678812,truck,train
407,47.585724,35.969505,airplane,train
408,-1.9073955,-32.241016,truck,train
409,23.606344,39.885616,frog,train
410,-11.178767,-35.939255,ship,train
411,-29.037323,24.643356,bird,train
412,58.46192,0.17294194,horse,train
413,-54.23394,-37.781216,horse,train
414,15.948668,40.208652,deer,train
415,60.880505,-30.821297,airplane,train
416,-3.4482765,-50.087597,cat,train
417,22.902985,-56.276165,airplane,train
418,51.074257,10.394748,ship,train
419,-0.058349997,56.2654,truck,train
420,-18.631573,15.245922,deer,train
421,-67.23458,5.9493237,bird,train
422,22.05075,8.028878,horse,train
423,-73.808945,0.40868405,bird,train
424,-26.229074,-47.013172,dog,train
425,-0.558277,11.3709755,bird,train
426,-24.089031,-7.3564806,dog,train
427,-62.954704,-31.95296,automobile,train
428,-27.481638,35.82674,truck,train
429,-37.381454,-5.971133,deer,train
430,70.885025,9.208982,ship,train
431,-55.577393,-13.014016,dog,train
432,-14.486105,32.16519,automobile,train
433,-52.334644,-11.197019,horse,train
434,-22.280685,-41.221558,deer,train
435,16.297197,1.2099961,deer,train
436,61.910686,-1.6384029,airplane,train
437,-15.081828,-4.7654634,frog,train
438,26.428036,-7.851163,truck,train
439,28.218641,-22.728155,airplane,train
440,-48.183678,12.611149,horse,train
441,64.01261,1.2336715,ship,train
442,28.238567,-42.744713,ship,train
443,56.916946,14.864408,truck,train
444,43.25727,32.413635,truck,train
445,-62.598526,-17.523045,cat,train
446,-71.39085,2.2063465,cat,train
447,-57.125813,-33.808495,deer,train
448,53.597927,40.22848,airplane,train
449,-46.012486,20.385977,deer,train
450,-3.071646,47.942726,dog,train
451,-49.098343,-6.8202305,frog,train
452,-14.344326,13.069061,frog,train
453,49.285187,36.00556,airplane,train
454,-4.4772778,10.762282,automobile,train
455,55.697,-37.37557,airplane,train
456,31.548178,-48.996674,ship,train
457,2.807892,22.427885,airplane,train
458,8.729532,-12.821208,deer,train
459,35.94738,-48.25021,ship,train
460,9.2861185,-21.119242,ship,train
461,62.548206,-14.598449,automobile,train
462,-40.700764,14.676833,dog,train
463,-11.430437,-7.6862955,bird,train
464,-53.753292,28.111322,frog,train
465,-5.6493335,8.280553,ship,train
466,-22.498884,-21.562868,automobile,train
467,7.0628386,45.2046,airplane,train
468,32.859814,-50.935883,airplane,train
469,-21.452286,-12.084952,horse,train
470,-20.941578,2.3184533,horse,train
471,-12.603903,14.033105,dog,train
472,37.884056,48.338516,truck,train
473,-31.442015,8.989743,frog,train
474,-73.17245,20.790209,bird,train
475,31.238552,40.53764,ship,train
476,-45.435463,-0.009847883,cat,train
477,-3.3720975,-39.563675,deer,train
478,-19.7021,-19.879492,horse,train
479,53.840305,-26.526505,cat,train
480,34.469254,34.022892,truck,train
481,41.65092,-12.301334,airplane,train
482,-16.078161,-16.747868,automobile,train
483,-9.829171,-0.9338018,bird,train
484,23.223175,-29.209093,deer,train
485,8.473923,47.274673,ship,train
486,0.33060843,41.16307,automobile,train
487,3.8868082,36.44915,ship,train
488,16.96736,-47.771915,frog,train
489,-63.801167,19.159216,deer,train
490,15.00249,-20.921545,deer,train
491,-29.334064,-44.688255,dog,train
492,-17.222515,-34.904327,horse,train
493,20.710598,24.495913,automobile,train
494,8.686035,-1.5743762,cat,train
495,39.693867,38.471558,truck,train
496,30.421942,9.00708,ship,train
497,60.69877,-3.3724864,airplane,train
498,42.605026,-5.1566887,automobile,train
499,-3.1686225,24.803389,horse,train
500,17.494678,0.7835748,dog,train
501,9.025166,-20.094349,ship,train
502,-65.736374,26.690401,bird,train
503,62.395058,24.69883,ship,train
504,56.506775,-37.66188,airplane,train
505,22.260597,46.92773,deer,train
506,-55.824745,28.715784,automobile,train
507,-22.655584,22.249306,ship,train
508,22.711483,24.607365,truck,train
509,-40.69405,28.920183,ship,train
510,-58.85489,9.375538,bird,train
511,33.361565,-0.66034544,truck,train
512,45.255413,30.161825,truck,train
513,-31.61648,12.178277,bird,train
514,-13.044461,-38.51882,horse,train
515,-66.92773,1.794527,dog,train
516,28.7017,3.3746264,horse,train
517,-53.411194,15.795923,cat,train
518,10.941437,31.262527,ship,train
519,27.808794,-51.39591,ship,train
520,-21.011303,-40.33132,deer,train
521,-20.161646,-39.363125,deer,train
522,14.905439,-6.7710576,bird,train
523,-46.273846,-45.131336,horse,train
524,64.98517,10.626928,automobile,train
525,-51.110027,-26.315248,frog,train
526,-16.015491,22.555223,deer,train
527,34.286476,21.4609,airplane,train
528,-35.747417,-1.053265,deer,train
529,-46.727524,19.60859,frog,train
530,-36.23485,20.99962,truck,train
531,-30.26006,-0.021113414,horse,train
532,-22.597052,22.257347,frog,train
533,8.187413,-7.951143,bird,train
534,-5.7177224,-53.83124,dog,train
535,40.994667,-9.316573,dog,train
536,4.2028255,33.644623,automobile,train
537,-25.185446,6.104082,horse,train
538,52.04631,-35.75684,bird,train
539,52.695766,-39.452606,bird,train
540,23.224602,-15.638787,bird,train
541,66.41402,-6.8655825,truck,train
542,-60.617138,23.598265,dog,train
543,-6.6693516,-14.750446,deer,train
544,-33.59047,20.94079,bird,train
545,-33.227108,5.187013,horse,train
546,10.73856,44.5285,ship,train
547,75.17599,18.54133,automobile,train
548,-0.05082323,46.867573,cat,train
549,35.374374,8.212198,deer,train
550,-14.477668,-31.674438,cat,train
551,-30.100157,-3.8932188,horse,train
552,-39.331116,-37.108784,frog,train
553,45.44986,34.551876,truck,train
554,46.675396,18.647007,ship,train
555,31.556734,-2.5833762,airplane,train
556,18.313423,-28.303074,frog,train
557,33.99343,-40.29256,airplane,train
558,17.14175,37.502342,bird,train
559,-3.3905227,43.904972,bird,train
560,10.035795,-11.399554,bird,train
561,-35.311695,-32.636005,automobile,train
562,30.375921,21.495577,ship,train
563,-51.46883,-35.9704,deer,train
564,-6.4327173,20.822933,airplane,train
565,-33.200348,-37.588127,automobile,train
566,53.10982,19.414202,ship,train
567,62.98272,1.8256161,ship,train
568,38.933617,28.985775,automobile,train
569,1.6520679,-47.480118,dog,train
570,21.482294,-24.523363,horse,train
571,26.171131,-9.7218895,frog,train
572,-33.413696,9.219047,deer,train
573,-33.152367,-30.574207,dog,train
574,45.29359,23.934145,ship,train
575,-11.07809,3.8050783,horse,train
576,-16.40443,27.885513,automobile,train
577,51.11306,24.902842,truck,train
578,-35.326283,-35.95544,automobile,train
579,66.37069,18.896082,truck,train
