,dataset,type,mean,standard deviaiton,dataset size
0,audio-mnist,train,[-1.0786373e-05],[0.00309664],20000
1,audio-mnist,test,[-1.0200869e-05],[0.00445066],10000
2,speech-commands,train,[-9.120035e-05],[0.08103392],51088
3,speech-commands,test,[-0.00017467],[0.08301105],6835
4,speech-commands,validation,[0.00024789],[0.07386722],6798
5,speech-commands-random,train,[-6.4184766e-05],[0.08157629],32185
6,speech-commands-random,test,[-0.00016766],[0.08044415],15326
7,speech-commands-random,validation,[3.098631e-05],[0.08328391],3577
8,speech-commands-numbers,train,[-8.7964945e-05],[0.08092296],18620
9,speech-commands-numbers,test,[-0.00016285],[0.08646617],2552
10,speech-commands-numbers,validation,[0.0001768],[0.07188941],2494
