,col1,col2,label,source
0,-21.942293,-10.38517,zero,train
1,10.211028,11.168095,zero,train
2,-55.69709,20.81618,zero,train
3,31.68444,8.6262455,zero,train
4,-21.967413,32.35887,zero,train
5,-41.350304,36.81884,zero,train
6,28.592672,18.009989,zero,train
7,7.3278317,9.836668,zero,train
8,-58.92151,-14.900703,zero,train
9,-33.321423,-49.98357,zero,train
10,19.043236,-2.6096396,zero,train
11,1.044482,12.23924,zero,train
12,-2.8682544,0.9503107,zero,train
13,-18.900476,19.744871,zero,train
14,1.2288171,51.884457,zero,train
15,3.9751337,33.030094,zero,train
16,35.098263,33.9924,zero,train
17,31.818516,39.981804,zero,train
18,41.48042,30.623684,zero,train
19,34.068657,22.07202,zero,train
20,26.310783,-18.147728,zero,train
21,42.79059,-18.173876,zero,train
22,56.21687,-37.044346,zero,train
23,38.01235,-27.124516,zero,train
24,25.257025,46.839798,zero,train
25,9.521991,28.00778,zero,train
26,48.79191,25.056946,zero,train
27,2.1994932,38.44517,zero,train
28,39.784462,9.049061,zero,train
29,43.97224,36.99908,zero,train
30,10.583526,-2.6375065,zero,train
31,55.409595,10.597133,zero,train
32,-2.4067378,13.654965,zero,train
33,-24.50694,29.357538,zero,train
34,39.7319,-3.5517745,zero,train
35,37.36459,18.740335,zero,train
36,-22.18091,56.750698,zero,train
37,38.764675,-35.15541,zero,train
38,-7.812704,3.2482357,zero,train
39,39.424076,6.595694,zero,train
40,-2.3215137,57.049877,zero,train
41,-19.363483,-57.68223,zero,train
42,-23.798302,36.03981,zero,train
43,64.66395,-0.3881648,zero,train
44,9.750619,45.2462,zero,train
45,19.156052,-53.626587,zero,train
46,48.91524,-35.607292,zero,train
47,19.650679,12.576643,zero,train
48,23.72305,-32.207348,zero,train
49,-39.28491,44.004784,zero,train
50,-8.087581,-2.7607245,zero,train
51,21.908875,19.103271,zero,train
52,52.79627,-49.532658,zero,train
53,22.040682,-41.516834,zero,train
54,-17.147007,-39.461853,zero,train
55,26.092379,-13.206603,zero,train
56,52.77059,-19.754822,zero,train
57,-25.437603,1.4028144,zero,train
58,14.046084,-1.3513595,zero,train
59,-56.511078,24.250301,zero,train
60,54.31253,-35.51321,zero,train
61,22.220179,-49.868805,zero,train
62,-4.5324326,-8.325655,zero,train
63,37.340206,-17.040915,zero,train
64,-45.34667,-2.285544,zero,train
65,-37.89028,30.849377,zero,train
66,-73.40524,-4.4344974,zero,train
67,20.911703,-9.242512,zero,train
68,16.348389,18.262249,zero,train
69,46.43761,18.069841,zero,train
70,24.155205,-7.116249,zero,train
