,col1,col2,label,source
0,-2.4780686,4.2078767,left,train
1,22.559849,50.59964,eight,train
2,-60.789658,0.90405095,no,train
3,-25.0241,-13.382964,right,train
4,-23.29112,-35.528816,sheila,train
5,-53.117104,28.388817,right,train
6,20.590837,-12.956943,right,train
7,-50.496635,23.36801,eight,train
8,-34.481716,51.58019,nine,train
9,11.856978,-26.922277,seven,train
10,31.15047,-23.739134,right,train
11,15.798894,50.80657,left,train
12,47.545277,-2.187589,seven,train
13,23.705482,-0.3137248,five,train
14,-8.883906,57.40436,marvin,train
15,-32.922348,4.845222,yes,train
16,-28.989737,-2.4486766,five,train
17,-20.310152,64.3505,up,train
18,-29.88109,11.607093,on,train
19,-21.145597,-50.25073,on,train
20,20.59941,42.79,no,train
21,18.722221,-35.670742,four,train
22,17.18086,32.840057,cat,train
23,5.0778766,-6.5005045,no,train
24,-15.243311,15.164412,four,train
25,-3.636661,57.60699,no,train
26,-11.028875,31.679825,yes,train
27,-35.695408,-42.741016,eight,train
28,-9.710091,30.316128,go,train
29,20.004902,-1.0681881,on,train
30,-43.816505,-6.702117,go,train
31,24.550415,-34.948803,three,train
32,-9.421777,1.5051991,tree,train
33,37.687443,24.695004,eight,train
34,-30.29501,-8.8053,go,train
35,6.789294,53.650215,dog,train
36,17.15342,-23.790386,tree,train
37,-5.6183124,3.5623832,seven,train
38,-28.555042,13.2045,on,train
39,-41.897354,-33.976524,house,train
40,25.165712,48.316372,go,train
41,16.149273,72.49623,down,train
42,58.14044,26.972286,left,train
43,-58.283752,-2.5343697,bird,train
44,8.990448,11.384682,left,train
45,-19.757607,-53.31296,zero,train
46,-20.532225,43.902657,six,train
47,29.045591,17.756533,four,train
48,-21.676746,-12.287962,down,train
49,-11.728224,24.03359,left,train
50,65.734924,-25.534735,dog,train
51,-3.6765552,48.289433,tree,train
52,-14.801984,-2.8977466,left,train
53,-24.472279,-69.427216,tree,train
54,38.81453,-3.4725842,no,train
55,-1.3905566,63.894638,house,train
56,10.557911,-46.683968,stop,train
57,-25.791504,22.610682,off,train
58,5.422521,-58.886272,left,train
59,34.347378,13.404736,yes,train
60,30.681711,61.309345,nine,train
61,-9.367347,20.793957,nine,train
62,-23.083235,-68.377785,yes,train
63,35.24678,-4.6861844,off,train
64,-20.249535,30.010656,bird,train
65,14.446947,-42.969566,three,train
66,32.681038,-2.6345065,off,train
67,-9.248236,-13.817808,happy,train
68,37.11272,-12.98558,nine,train
69,-46.379482,10.989916,seven,train
70,41.149563,-23.0176,bed,train
71,20.851465,-26.647003,one,train
72,64.17727,-12.663567,two,train
73,-49.189842,-21.714138,one,train
74,-34.218716,-18.351562,cat,train
75,27.307434,-6.88002,bed,train
76,35.683495,-26.085222,nine,train
77,19.708548,3.498596,happy,train
78,36.577488,-21.856379,go,train
79,-31.70595,-6.635058,on,train
80,-40.29403,25.426998,on,train
81,0.27616456,-9.658649,go,train
82,-18.165152,22.64445,right,train
83,4.929306,51.669865,three,train
84,-50.571457,24.04511,sheila,train
85,-33.835155,-6.5159063,one,train
86,-8.193339,46.49011,four,train
87,-21.496975,24.444935,eight,train
88,5.3014126,-21.538965,nine,train
89,-52.163975,-16.191572,down,train
90,-22.749584,-5.2879477,house,train
91,5.3760223,35.354034,one,train
92,22.952908,-2.0840046,dog,train
93,23.371363,-8.959095,cat,train
94,-23.956316,24.19548,left,train
95,23.391117,-17.271889,on,train
96,-14.766315,7.0123506,five,train
97,9.867751,26.765854,wow,train
98,52.276943,23.63053,stop,train
99,43.151978,9.283093,seven,train
100,-2.4639065,5.9326754,cat,train
101,-16.017797,-33.37903,two,train
102,-38.21511,5.93309,six,train
103,-34.737347,-12.380606,off,train
104,-14.302723,-35.790817,no,train
105,-47.495808,-27.894524,tree,train
106,58.54684,-7.3619843,one,train
107,10.4556265,-51.763615,wow,train
108,46.101307,-28.989779,go,train
109,-30.43297,5.4251537,yes,train
110,-33.167675,-1.9138994,marvin,train
111,-7.6273103,-17.129892,tree,train
112,-49.00699,8.263044,six,train
113,56.838688,-2.9363387,stop,train
114,-68.546425,0.062219754,up,train
115,-43.292675,25.761835,yes,train
116,-31.061752,-30.023357,off,train
117,-31.781252,-6.891336,down,train
118,7.9072533,-27.269987,sheila,train
119,32.475945,-23.991707,one,train
120,-33.190212,13.359373,off,train
121,-4.7226214,57.389843,marvin,train
122,28.090515,-21.549751,dog,train
123,-0.49053502,68.64108,right,train
124,-29.224144,27.839079,bird,train
125,-10.865398,33.747322,bed,train
126,-7.0787606,25.517437,seven,train
127,-48.30963,15.933192,stop,train
128,66.10511,20.00598,right,train
129,26.593287,-44.179432,bed,train
130,-17.502483,0.408828,nine,train
131,24.260483,-19.708055,dog,train
132,-43.87237,27.187672,up,train
133,-48.51369,-22.253927,left,train
134,-14.852601,15.021331,no,train
135,42.78085,9.808265,off,train
136,25.079613,-38.279316,two,train
137,2.5707388,-32.989254,two,train
138,-18.522526,-47.812286,wow,train
139,10.921383,-22.680805,right,train
140,2.5034144,0.7221647,on,train
141,-5.1260653,18.401043,left,train
142,33.752678,-18.369877,cat,train
143,-49.349255,-36.748024,yes,train
144,-7.9083986,29.198677,four,train
145,-11.165355,1.620916,cat,train
146,2.433058,16.303705,up,train
147,18.961275,1.9215406,dog,train
148,8.919562,1.3873857,wow,train
149,41.205475,-18.873323,bed,train
150,22.336807,-31.767206,bird,train
151,27.90557,7.792653,five,train
152,-31.220503,-18.048958,no,train
153,59.834774,2.7523515,yes,train
154,-23.101648,54.12183,two,train
155,-34.598663,-6.4674397,cat,train
156,-11.565038,-43.513557,nine,train
157,-29.200602,-12.890045,on,train
