,col1,col2,labels
0,30.260834,9.137194,zero
1,-27.037395,-51.280724,zero
2,32.642105,49.713947,zero
3,-33.261513,-35.24519,zero
4,-19.327991,56.90995,zero
5,-19.563929,-63.48166,zero
6,-47.187664,-28.1133,zero
7,-14.22834,-52.779305,zero
8,-3.7473557,-64.91906,zero
9,1.3824039,7.957832,zero
10,23.365797,-51.126778,zero
11,-71.47813,-15.61097,zero
12,24.672089,59.051785,zero
13,5.860478,-49.653927,zero
14,-29.432255,18.910875,zero
15,-6.200282,53.411026,zero
16,31.126123,-46.149586,zero
17,58.29691,-29.850992,zero
18,55.36945,35.283756,zero
19,-36.13783,-31.19893,zero
20,62.362015,13.117479,zero
21,33.579556,49.291306,zero
22,12.738617,51.327084,zero
23,49.384556,28.418436,zero
24,-11.574006,46.444244,zero
25,-3.0345094,-17.757135,zero
26,6.121595,49.171127,zero
27,25.235939,45.42969,zero
28,34.114883,-11.425844,zero
29,-10.307496,-50.069767,zero
30,4.8855314,-57.856014,zero
31,26.669827,-19.398172,zero
32,60.2352,-12.502435,zero
33,60.567356,2.4525976,zero
34,51.88118,25.493458,zero
35,-8.672485,29.919724,zero
36,34.21533,36.36395,zero
37,38.009266,-31.511257,zero
38,2.2806404,-71.81143,zero
39,-35.82403,-41.807205,zero
40,4.3383737,-72.655045,zero
41,43.014896,-16.979584,zero
42,60.535366,-25.257215,zero
43,42.70371,44.21639,zero
44,12.880635,33.517506,zero
45,59.129646,15.442286,zero
46,9.764418,-73.278145,zero
47,6.960349,-16.665266,zero
48,-68.34211,16.488409,zero
49,13.630994,-16.75133,zero
50,5.17555,-60.898556,zero
51,69.54779,52.119232,zero
52,45.49672,-30.970522,zero
53,-13.312022,46.709305,zero
54,37.660927,35.947895,zero
55,-5.730839,-74.39804,zero
56,33.424522,-64.54614,zero
57,4.4998,38.044006,zero
58,20.58493,11.061599,zero
59,-26.563208,-9.602769,zero
60,-7.600303,-44.225548,zero
61,6.4223976,0.6155947,zero
62,-73.31795,6.0775604,zero
63,24.57585,45.407497,zero
64,-28.63481,19.675737,zero
65,-56.22388,4.897898,zero
66,50.48225,21.177015,zero
67,-25.67147,34.60973,zero
68,51.91969,13.570827,zero
69,27.636908,-28.38484,zero
70,13.626561,45.715816,zero
71,45.828583,-3.130117,zero
72,7.2589607,-1.9628805,zero
73,21.106527,58.956978,zero
