,col1,col2,label,source
0,-9.739732,38.7921,zero,train
1,-7.8801937,-6.381716,zero,train
2,-63.235455,7.3133783,zero,train
3,22.898626,-6.336122,zero,train
4,-14.524664,-14.387631,zero,train
5,-45.739803,37.27947,zero,train
6,31.847261,56.24624,zero,train
7,-11.4087105,1.2033396,zero,train
8,-59.978325,19.188042,zero,train
9,-36.800407,-44.761463,zero,train
10,24.720478,0.63660336,zero,train
11,44.132664,19.109928,zero,train
12,18.003832,-30.064146,zero,train
13,-1.1598314,17.303926,zero,train
14,-11.030162,-10.117122,zero,train
15,-6.515086,10.0553665,zero,train
16,14.279398,-66.658325,zero,train
17,-1.8338473,58.640713,zero,train
18,-4.9198675,12.854412,zero,train
19,-2.559363,-15.657202,zero,train
20,1.0596069,12.290849,zero,train
21,10.833837,-34.358402,zero,train
22,4.187902,-59.236256,zero,train
23,-8.222068,-17.870008,zero,train
24,-17.834408,-13.958079,zero,train
25,12.677194,-21.694538,zero,train
26,26.447334,-46.762096,zero,train
27,-6.2379575,13.455367,zero,train
28,58.84776,-35.189613,zero,train
29,32.38323,-63.958344,zero,train
30,12.6416855,0.103270814,zero,train
31,42.800255,-55.32921,zero,train
32,-13.896367,-8.971075,zero,train
33,-22.559053,54.047523,zero,train
34,6.96547,-51.473324,zero,train
35,11.258357,7.6770177,zero,train
36,-17.475792,5.0669217,zero,train
37,22.065409,-51.98807,zero,train
38,3.650134,8.176051,zero,train
39,-7.1142893,-56.203045,zero,train
40,-29.16083,-32.24727,zero,train
41,42.28701,44.733814,zero,train
42,-15.081587,50.652824,zero,train
43,-20.565527,-52.475773,zero,train
44,-10.316661,-7.012586,zero,train
45,-2.5731702,-38.851727,zero,train
46,2.5056312,-52.66843,zero,train
47,22.211422,-4.2987475,zero,train
48,22.091959,-45.815327,zero,train
49,-4.1561646,17.220207,zero,train
50,-2.1969283,2.8424869,zero,train
51,-13.041709,24.96579,zero,train
52,34.87222,55.371468,zero,train
53,27.28621,-47.42278,zero,train
54,-26.280104,-42.07637,zero,train
55,24.192831,-42.742657,zero,train
56,-16.998106,-33.48247,zero,train
57,-44.549274,51.76707,zero,train
58,23.402096,-30.617432,zero,train
59,-59.140957,36.37784,zero,train
60,4.4369783,-59.68282,zero,train
61,3.8123994,-46.246593,zero,train
62,18.88312,62.5639,zero,train
63,26.9852,-46.478725,zero,train
64,-67.44542,-0.045948558,zero,train
65,-17.02069,24.877132,zero,train
66,57.816093,39.341244,zero,train
67,7.5615387,-13.485874,zero,train
68,13.728776,35.449284,zero,train
69,2.1108878,-19.84396,zero,train
70,9.861948,-24.51762,zero,train
71,-8.710577,20.486597,zero,train
72,-17.203358,6.336012,zero,train
73,-6.1265645,-0.37069765,zero,train
74,-2.606928,-0.20858784,zero,train
75,55.0293,-3.2930326,zero,train
76,17.160046,-27.925991,zero,train
77,10.365862,23.548325,zero,train
78,-18.243921,62.368927,zero,train
79,-32.661682,54.38288,zero,train
80,-60.918507,-14.058856,zero,train
81,9.993262,-2.8339028,zero,train
82,-14.587899,22.07864,zero,train
83,12.357765,-16.1082,zero,train
84,47.783867,48.10467,zero,train
85,3.6750126,-18.804602,zero,train
86,-5.405167,0.6464678,zero,train
87,9.235957,20.962723,zero,train
88,18.866108,-64.99961,zero,train
89,25.721613,-52.72925,zero,train
90,-36.65213,14.764002,zero,train
91,-23.406431,49.68189,zero,train
92,-5.028578,29.507238,zero,train
93,-8.620516,13.968931,zero,train
94,-7.6205196,8.060215,zero,train
95,-1.1663047,54.764088,zero,train
96,25.371164,-41.567265,zero,train
97,-2.587815,68.04783,zero,train
98,12.2945595,52.525955,zero,train
99,20.445269,31.61917,zero,train
100,22.888319,49.57313,zero,train
101,-4.964437,25.349611,zero,train
102,-45.71896,4.1464205,zero,train
103,2.6823099,28.35049,zero,train
104,11.706963,-41.51581,zero,train
105,-26.391336,52.99648,zero,train
106,22.894846,3.3422782,zero,train
107,-17.45091,1.118281,zero,train
108,-11.612657,-2.4602695,zero,train
109,9.652411,-20.587101,zero,train
110,-6.6853304,67.93631,zero,train
111,9.683368,22.413748,zero,train
112,-47.080883,30.383125,zero,train
113,-22.654436,-1.9885836,zero,train
114,18.903841,3.9077551,zero,train
115,-46.590168,49.209198,zero,train
116,-4.8002295,3.6992075,zero,train
117,-0.18767713,-3.2901144,zero,train
118,-1.2412187,-10.375791,zero,train
119,3.108653,17.373323,zero,train
120,-6.4492483,-4.3825836,zero,train
121,-43.594955,42.89702,zero,train
122,-25.773802,-34.234722,zero,train
123,-23.5795,-34.845623,zero,train
124,-18.255888,7.4248457,zero,train
125,-7.2230277,-28.841879,zero,train
126,-0.25389132,25.541887,zero,train
127,22.310009,-19.37105,zero,train
128,-55.978703,33.97046,zero,train
129,16.198563,-21.818558,zero,train
130,-58.633812,8.2414255,zero,train
131,37.88977,64.55651,zero,train
132,-51.29036,25.66203,zero,train
133,32.924946,-51.724926,zero,train
134,15.423812,-35.889862,zero,train
135,-7.6404138,-11.28019,zero,train
136,19.187304,-15.565788,zero,train
137,28.58808,-53.429413,zero,train
138,54.11733,30.772808,zero,train
139,14.031371,-53.275158,zero,train
140,-13.188504,-38.834328,zero,train
141,13.519869,71.46485,zero,train
142,20.207624,-62.883373,zero,train
143,55.32855,-22.344162,zero,train
144,5.570909,26.299355,zero,train
145,19.644691,10.670377,zero,train
146,16.584568,-8.441151,zero,train
147,30.993933,-51.56918,zero,train
148,17.220137,-7.651613,zero,train
149,-3.6233118,-4.69679,zero,train
150,-70.92705,22.294985,zero,train
151,-10.126467,-10.640224,zero,train
152,7.5858145,61.007885,zero,train
153,-10.693783,-24.610619,zero,train
154,-0.088870734,-2.6680872,zero,train
155,-16.367489,59.754375,zero,train
156,-18.188469,64.30472,zero,train
157,3.806925,-1.7713897,zero,train
158,6.999379,-72.257675,zero,train
159,-28.098991,35.169113,zero,train
160,49.79679,-26.59403,zero,train
161,-35.60442,32.52365,zero,train
162,11.858974,-10.651796,zero,train
163,-11.286524,-6.0673003,zero,train
164,16.933151,17.78712,zero,train
165,-4.7925706,13.4113035,zero,train
166,8.824317,-15.967349,zero,train
167,-35.049236,45.14787,zero,train
168,-3.4286375,-21.638466,zero,train
169,-58.40573,36.443813,zero,train
