,col1,col2,label,source
0,-12.433538,16.07846,zero,train
1,48.050884,-46.054573,zero,train
2,-53.14925,18.551163,zero,train
3,32.244556,-51.027035,zero,train
4,-22.926998,63.796,zero,train
5,-19.196175,38.23141,zero,train
6,-2.2090223,63.142845,zero,train
7,13.436817,-8.761421,zero,train
8,-13.722589,-51.000748,zero,train
9,-72.9585,-24.361324,zero,train
10,52.810696,-20.587864,zero,train
11,8.60651,24.730774,zero,train
12,-8.401796,-9.886741,zero,train
13,-9.765869,-43.5436,zero,train
14,-50.730137,20.011318,zero,train
15,-26.543135,54.618767,zero,train
16,65.441216,15.313274,zero,train
17,50.22148,23.514404,zero,train
18,51.947304,31.760136,zero,train
19,31.317581,33.268757,zero,train
20,64.15443,-0.417657,zero,train
21,20.113138,-45.731438,zero,train
22,33.61596,64.15091,zero,train
23,65.84035,-21.537271,zero,train
24,54.189392,-48.978855,zero,train
25,-29.630114,39.11253,zero,train
26,-6.8404775,55.759514,zero,train
27,39.25817,38.643208,zero,train
28,30.733374,52.976334,zero,train
29,56.563072,-18.34951,zero,train
30,22.67476,-14.418199,zero,train
31,6.3231645,57.888504,zero,train
32,0.26561725,2.441875,zero,train
33,27.335218,65.29733,zero,train
34,30.894361,64.399506,zero,train
35,20.760471,22.035576,zero,train
36,17.472408,46.24623,zero,train
37,25.452408,-4.9625006,zero,train
38,26.549349,1.5575713,zero,train
39,30.445099,57.314835,zero,train
40,16.709576,14.729807,zero,train
41,-30.530087,-63.862877,zero,train
42,-7.713055,19.292175,zero,train
43,46.73608,-61.66655,zero,train
44,8.700072,38.375347,zero,train
45,34.667896,52.867508,zero,train
46,58.306732,19.42024,zero,train
47,22.155289,74.16367,zero,train
48,14.831394,52.059067,zero,train
49,-10.316984,-34.004963,zero,train
50,4.0748963,-26.966211,zero,train
51,6.372419,-0.5164256,zero,train
52,-15.360107,-65.67396,zero,train
53,65.27094,-21.597754,zero,train
54,-50.136276,-21.690165,zero,train
55,-11.710087,-37.791195,zero,train
56,50.872795,-11.380283,zero,train
57,5.40889,38.691597,zero,train
58,38.475353,-43.67699,zero,train
59,35.506905,37.611,zero,train
60,44.815422,-28.695135,zero,train
61,45.995876,8.676372,zero,train
62,-39.97568,2.6495597,zero,train
63,23.412323,-2.4234855,zero,train
64,0.568316,64.739555,zero,train
65,-33.855984,3.6717443,zero,train
66,-48.665604,-57.0603,zero,train
67,48.69851,20.467508,zero,train
68,42.099293,-13.630294,zero,train
69,65.774055,6.470893,zero,train
70,43.336758,-24.052711,zero,train
71,-17.517004,-32.180534,zero,train
72,-12.477486,48.481853,zero,train
73,71.07001,14.442233,zero,train
74,-43.26121,46.95286,zero,train
75,-57.23737,-43.35379,zero,train
76,52.08739,-27.444565,zero,train
77,59.057266,-36.736927,zero,train
78,-34.750763,67.3988,zero,train
79,30.817234,56.96077,zero,train
80,-29.629326,14.5614395,zero,train
81,-14.273803,-32.249004,zero,train
82,-11.19268,29.342936,zero,train
83,38.42868,10.328696,zero,train
84,-31.513376,-62.12321,zero,train
85,8.765183,-7.5264325,zero,train
86,-9.032359,41.175922,zero,train
87,68.68086,19.129732,zero,train
88,28.04735,18.219923,zero,train
89,9.0432005,-69.26148,zero,train
90,-14.808359,-12.8454275,zero,train
91,-31.69266,27.864178,zero,train
92,-11.999716,13.098017,zero,train
93,31.090935,44.5233,zero,train
94,17.44632,24.341677,zero,train
95,4.4542146,26.814297,zero,train
96,32.07818,-22.932428,zero,train
97,-53.640697,19.22691,zero,train
98,26.258587,15.778297,zero,train
99,1.9792196,26.4734,zero,train
100,-25.805862,-26.0324,zero,train
101,-29.909407,42.75471,zero,train
102,-21.243027,-13.984853,zero,train
103,21.346115,-34.212906,zero,train
104,29.113255,50.690163,zero,train
105,-18.662035,50.188076,zero,train
106,-17.239235,-58.942997,zero,train
107,-12.3991995,31.262735,zero,train
108,46.27474,0.15758361,zero,train
109,47.861538,9.301802,zero,train
110,21.930239,21.005064,zero,train
111,67.95958,-9.646435,zero,train
112,6.1416554,2.0093405,zero,train
113,22.930256,73.93036,zero,train
114,61.019394,-36.863426,zero,train
115,61.870968,26.11624,zero,train
116,-8.355312,-23.105251,zero,train
117,-21.585867,-40.80967,zero,train
118,42.01252,37.751892,zero,train
119,-25.224607,57.147884,zero,train
120,6.8838606,16.637337,zero,train
121,-27.563156,23.031061,zero,train
122,16.627966,-35.27266,zero,train
123,-12.273746,19.830193,zero,train
124,17.943497,27.416334,zero,train
125,-40.080727,-45.35444,zero,train
126,8.386034,33.495716,zero,train
127,34.204426,-18.735071,zero,train
128,-11.740654,33.84554,zero,train
129,59.554214,39.60436,zero,train
130,-9.873788,17.494799,zero,train
131,20.252792,61.854256,zero,train
132,-21.55132,-18.42928,zero,train
133,24.939737,-2.6488662,zero,train
134,16.61824,-37.744576,zero,train
135,-17.91128,79.408134,zero,train
136,1.9079605,44.308506,zero,train
137,7.831549,61.539722,zero,train
138,0.83037555,64.50854,zero,train
139,55.91834,15.609338,zero,train
140,0.44350037,-25.555668,zero,train
141,-0.9438075,-11.8134575,zero,train
142,61.116318,-0.25070918,zero,train
143,38.628933,-32.75979,zero,train
144,20.579792,-57.81198,zero,train
145,52.79423,-1.6588389,zero,train
146,-0.4138696,47.389297,zero,train
147,72.94969,-9.212103,zero,train
148,34.537266,46.220303,zero,train
149,14.532264,-35.83442,zero,train
150,-31.275026,22.598629,zero,train
151,0.64863867,34.346615,zero,train
152,69.110016,17.450539,zero,train
153,-0.11828288,-46.806484,zero,train
154,-16.951492,-28.096468,zero,train
155,16.644705,38.428917,zero,train
156,-23.420918,62.913765,zero,train
157,-21.256212,-41.67759,zero,train
