,col1,col2,label
0,-21.774702,32.51872,zero
1,22.322289,-25.651163,zero
2,66.831055,6.753351,zero
3,26.700394,-18.860968,zero
4,4.2540174,63.814262,zero
5,50.656116,21.902378,zero
6,-6.504372,61.549923,zero
7,-10.3517685,-27.549454,zero
8,-40.6219,42.840794,zero
9,-80.67489,15.43697,zero
10,-19.38731,-56.378365,zero
11,52.796047,-8.124326,zero
12,-1.8645968,-4.153216,zero
13,-34.47872,12.983328,zero
14,77.36131,8.461335,zero
15,43.039333,-27.660557,zero
16,12.961173,69.58091,zero
17,59.15897,7.903884,zero
18,58.29778,22.453524,zero
19,31.104662,-30.544584,zero
20,21.450935,21.1303,zero
21,6.6395164,-7.740751,zero
22,29.150833,-11.871606,zero
23,40.000675,33.07343,zero
24,34.54857,66.0284,zero
25,-5.2968607,-35.737114,zero
26,-25.041702,56.559723,zero
27,39.439697,-29.445848,zero
28,27.180363,-29.74374,zero
29,46.73997,37.87232,zero
30,15.848614,6.8986306,zero
31,35.088413,33.956814,zero
32,20.20452,-18.91949,zero
33,30.779629,50.393276,zero
34,29.228813,51.32983,zero
35,27.163986,-3.8139389,zero
36,59.180935,-16.091827,zero
37,4.5660224,-14.481119,zero
38,-3.1898396,-6.5207076,zero
39,14.605003,37.1989,zero
40,36.977287,-57.640045,zero
41,-62.811707,-34.521946,zero
42,8.772368,-50.654587,zero
43,45.43861,-66.33443,zero
44,66.23474,-15.326992,zero
45,1.943312,-17.157269,zero
46,31.281134,27.448498,zero
47,34.936375,33.451233,zero
48,7.7963047,31.720375,zero
49,-10.980615,24.178232,zero
50,-20.996561,-21.877323,zero
51,-40.972267,-17.866508,zero
52,-69.65373,-35.550232,zero
53,40.36722,32.71366,zero
54,-60.911373,-1.8753277,zero
55,17.493763,31.680536,zero
56,23.521013,20.075813,zero
57,66.12064,-13.26904,zero
58,24.082396,-25.613247,zero
59,38.13105,-30.7814,zero
60,-28.245226,-50.431625,zero
61,35.363586,0.9221734,zero
62,-30.358932,9.146188,zero
63,8.383013,2.7873542,zero
64,-5.3879213,55.678913,zero
65,-38.005062,-27.58002,zero
66,-70.630325,-30.926056,zero
67,55.839848,-13.055856,zero
68,-10.821285,-47.44987,zero
69,57.41022,18.326305,zero
70,0.37596327,-32.12421,zero
71,-8.907273,4.389544,zero
72,55.861294,-42.460384,zero
73,31.12592,18.837986,zero
74,-34.255447,4.30958,zero
75,26.872883,-60.46502,zero
76,1.8918265,-32.519962,zero
77,1.1349769,17.669966,zero
78,2.0294917,72.48865,zero
79,14.52277,38.31969,zero
80,-27.601215,36.607395,zero
81,-0.100722566,6.3318496,zero
82,61.80361,-43.78293,zero
83,36.296055,7.7235513,zero
84,-45.79784,-46.919228,zero
85,35.994457,-14.085578,zero
86,-13.441015,-40.289993,zero
87,68.031235,1.6416979,zero
88,34.709457,45.043015,zero
89,31.710087,-68.27208,zero
90,-7.915553,-3.407839,zero
91,-15.972335,59.875057,zero
92,-19.76523,-41.34546,zero
93,50.527576,9.696232,zero
94,3.3636148,-40.641743,zero
95,-15.210444,-29.416805,zero
96,32.116158,7.7083735,zero
97,-16.382702,22.10684,zero
98,33.934307,-46.333736,zero
99,40.80366,-17.04719,zero
100,-52.329895,-6.166798,zero
101,-19.695002,-45.03922,zero
102,-20.990501,10.150626,zero
103,8.67437,-38.653793,zero
104,22.551382,30.020897,zero
105,-1.6054178,54.07923,zero
106,2.4665477,21.941439,zero
107,-17.050877,26.258947,zero
108,71.905846,-16.585772,zero
109,37.2668,-0.37589175,zero
110,59.103527,-38.81768,zero
111,65.932205,13.977986,zero
112,-18.320433,45.64316,zero
113,16.153381,57.200043,zero
114,71.16047,15.437038,zero
115,61.034042,6.1662226,zero
116,-12.572053,-12.4627285,zero
117,-38.371086,-36.156616,zero
118,9.651457,68.11258,zero
119,-3.5372565,60.46335,zero
120,32.71651,2.5256224,zero
121,-10.037137,18.891933,zero
122,8.635574,-16.782894,zero
123,19.134718,-41.01731,zero
124,-0.51449484,-37.440266,zero
125,-56.612843,-32.52503,zero
126,-36.177853,41.0964,zero
127,3.3936298,-17.618397,zero
128,59.08031,-5.9296327,zero
129,48.24174,-50.388775,zero
130,-17.3907,-46.995193,zero
131,23.711857,60.14238,zero
132,-43.42019,9.289466,zero
133,11.450442,-1.520404,zero
134,22.094633,-9.533075,zero
135,46.903416,-12.680091,zero
136,28.093105,-19.956528,zero
137,37.863365,27.883003,zero
138,41.14482,42.95581,zero
139,18.31553,-7.470338,zero
140,-0.9830625,-6.611208,zero
141,-7.5646048,-17.228018,zero
142,38.50818,28.035837,zero
143,13.242729,-53.566525,zero
144,-2.9763117,17.210266,zero
145,9.339487,-29.271002,zero
146,50.634346,-46.212883,zero
147,44.993565,22.066687,zero
148,63.74185,-31.319084,zero
149,0.049513306,-0.7354141,zero
150,-21.808594,17.966738,zero
151,71.65575,-18.061136,zero
152,65.750916,1.2330674,zero
153,-8.512474,-49.775356,zero
154,-21.627785,-13.171265,zero
155,-45.12233,37.577106,zero
156,43.32151,14.126391,zero
157,-39.445255,-37.578075,zero
158,19.29445,64.45554,zero
159,-2.3958964,-8.42334,zero
160,-21.714428,-55.307053,zero
161,-28.552105,-29.51691,zero
162,-7.6620297,-55.0624,zero
163,53.331825,-27.621637,zero
164,17.394173,0.508498,zero
165,1.1669599,-48.02058,zero
166,7.4573855,63.074345,zero
167,53.067966,24.924805,zero
168,41.082424,36.24867,zero
169,-24.046608,21.409805,zero
170,37.61987,1.1088476,zero
171,-14.608657,22.400734,zero
172,28.73391,49.034473,zero
173,-6.0128307,4.1749806,zero
174,17.677029,-11.364098,zero
175,16.582258,7.112677,zero
176,11.488473,31.79777,zero
177,33.544533,2.7296042,zero
178,49.013363,-30.239996,zero
179,-77.25043,15.668499,zero
180,34.000687,-52.366276,zero
181,49.96987,17.635077,zero
182,64.91404,22.034122,zero
183,3.6893966,-10.0558195,zero
184,-21.35652,-36.29351,zero
185,45.878117,-48.46501,zero
186,-15.399527,1.2407656,zero
187,56.430378,27.033339,zero
188,-37.412216,25.057371,zero
189,13.339155,30.7073,zero
190,50.299633,-17.914028,zero
191,34.389168,-29.03467,zero
192,-55.83679,-1.284671,zero
193,23.302185,-19.395403,zero
194,16.408638,-19.32353,zero
195,10.267757,14.966476,zero
196,-23.57415,-17.192814,zero
197,60.288124,-32.881226,zero
198,53.096066,-10.959207,zero
199,-40.946686,-40.468853,zero
200,29.519646,-17.585146,zero
201,56.013775,4.557606,zero
202,-40.34358,34.46243,zero
203,28.495401,24.784504,zero
204,40.44009,5.1603985,zero
205,51.010376,-34.673283,zero
206,10.225984,-10.946372,zero
207,10.605119,54.557625,zero
208,62.786594,9.46832,zero
209,-6.97886,-16.55272,zero
210,5.2484155,-15.587667,zero
211,63.000187,-17.055304,zero
212,-38.24515,41.34707,zero
213,26.024078,53.103264,zero
214,-15.474845,-54.171883,zero
215,3.2747507,28.27473,zero
216,6.219762,51.6571,zero
217,19.827187,18.444376,zero
218,-38.094963,-0.31396765,zero
219,50.025055,12.353384,zero
220,47.06307,-33.930325,zero
221,18.269371,0.24767093,zero
222,62.392467,9.869821,zero
223,53.013588,-3.2799406,zero
224,-14.290221,65.99386,zero
225,-1.028013,12.034366,zero
226,-51.201145,12.880764,zero
227,31.477577,8.589782,zero
228,7.949859,-60.353474,zero
229,-49.08459,15.500146,zero
230,14.900929,34.657608,zero
231,33.702175,-68.25279,zero
232,9.897106,16.07167,zero
233,-60.734524,20.767359,zero
234,46.667484,-7.2983465,zero
235,36.239807,0.55678356,zero
236,33.85283,-70.938835,zero
237,62.806007,30.220901,zero
238,-7.5911098,-0.07080935,zero
239,6.7732463,22.544775,zero
240,2.1292996,0.073403396,zero
241,-11.687557,-13.638264,zero
242,10.259053,8.716538,zero
243,-9.589059,-38.250793,zero
244,42.10286,-16.400011,zero
245,-46.271744,-46.45324,zero
246,-22.692844,-5.603047,zero
247,-18.302307,-43.5875,zero
248,74.44735,-7.4971366,zero
249,54.172417,24.980038,zero
250,5.4116697,0.09448781,zero
251,-40.31391,33.00703,zero
252,-7.3902516,-18.937317,zero
253,41.404247,-14.11433,zero
254,-1.3264272,45.71227,zero
255,8.723205,65.62043,zero
256,17.343548,16.700668,zero
257,70.02879,-15.929333,zero
258,61.77802,16.142513,zero
259,23.68015,22.639238,zero
260,49.64879,18.235506,zero
261,33.911892,-7.025109,zero
262,-43.251537,-13.668009,zero
263,15.703178,-32.5387,zero
264,65.74801,20.83675,zero
265,15.815293,-5.22101,zero
266,-50.29727,-26.829082,zero
267,-6.019471,64.70119,zero
268,48.897316,-64.96761,zero
269,20.912148,21.803638,zero
270,-14.169217,-40.98358,zero
271,60.278732,10.883024,zero
272,-9.45247,41.531185,zero
273,55.825867,-29.030512,zero
274,11.653382,65.16216,zero
275,-2.7457469,-15.885904,zero
276,39.499435,18.39217,zero
277,-45.508766,-16.801264,zero
278,-52.12131,-42.78973,zero
279,4.059505,-9.986425,zero
280,32.279663,19.700262,zero
281,52.00075,-25.95686,zero
282,40.930798,4.5437207,zero
283,19.29445,64.45554,zero
284,-22.978085,47.80518,zero
285,-24.597042,-42.84208,zero
286,-15.383272,-9.704474,zero
287,22.123838,16.186102,zero
288,50.03929,-2.9751613,zero
289,61.803085,-43.784176,zero
290,10.479366,65.971756,zero
291,-7.238308,35.350266,zero
292,27.306843,-27.003767,zero
293,28.513672,-40.15893,zero
294,57.012817,48.875637,zero
295,29.490217,-30.716263,zero
296,21.236307,20.726149,zero
297,-0.92286104,24.084429,zero
298,-1.3699756,-57.574455,zero
299,7.849113,67.714195,zero
300,55.0916,44.841335,zero
301,4.4624457,-36.90491,zero
302,50.195766,-19.60701,zero
303,-12.587398,41.494564,zero
304,-18.282034,37.488556,zero
305,47.79193,-68.56624,zero
306,-28.644312,14.82889,zero
307,50.788548,-24.154102,zero
308,7.360305,31.91429,zero
309,-71.04969,8.938215,zero
310,23.277788,44.998276,zero
311,-24.461468,62.461903,zero
312,29.691212,64.9301,zero
313,32.2251,-69.14388,zero
314,-2.2443397,-3.5863848,zero
315,66.44225,1.4828876,zero
316,12.126143,-30.66133,zero
317,34.94907,42.33096,zero
318,26.692501,20.382381,zero
319,31.848333,-16.258932,zero
320,55.996384,19.544342,zero
321,14.494428,38.629204,zero
322,39.256313,-0.9272171,zero
323,-20.94441,-3.5164473,zero
324,-29.73659,35.587814,zero
325,11.251579,8.869051,zero
326,31.20451,25.773563,zero
327,-51.107273,-17.916685,zero
328,28.830942,62.3486,zero
329,-68.81171,5.5508957,zero
330,65.03743,15.642075,zero
331,-15.040059,32.560787,zero
332,19.126726,-20.74062,zero
333,35.564934,-29.472797,zero
334,-14.358817,37.57896,zero
335,68.363594,-14.450589,zero
336,-23.355131,-2.0293286,zero
337,26.921106,-3.6555378,zero
338,69.58943,2.2879303,zero
339,13.154295,4.6030912,zero
340,-12.816807,-9.955139,zero
341,45.241283,-69.06061,zero
342,15.076111,34.62157,zero
343,31.630522,-70.18476,zero
344,1.5003256,-1.5198328,zero
345,19.809849,29.765974,zero
346,-9.216208,-17.109266,zero
347,-5.1548038,34.939575,zero
348,-29.336292,54.07095,zero
349,-4.364783,29.187693,zero
350,-6.6306386,50.94017,zero
351,3.6320114,-3.696656,zero
352,8.086958,29.394732,zero
353,-8.555826,59.47405,zero
354,42.81131,-25.725225,zero
355,-27.661112,-32.777103,zero
356,53.541187,10.805601,zero
357,-8.5970335,2.052568,zero
358,37.68936,20.875433,zero
359,-45.092594,-20.105701,zero
360,-54.438744,0.24055937,zero
361,-29.410053,55.069706,zero
362,58.668285,11.059609,zero
363,-50.62486,22.351427,zero
364,45.873646,36.180523,zero
365,2.7138116,43.903084,zero
366,-9.51768,65.57151,zero
367,-43.776802,-13.297864,zero
368,7.3023124,34.655407,zero
369,-2.2940967,38.268517,zero
370,4.4765515,-49.852955,zero
371,45.83804,36.437824,zero
372,37.852158,28.907442,zero
373,-9.97871,-0.911345,zero
374,52.759018,-14.438081,zero
375,60.272842,6.3503942,zero
376,59.906174,14.463577,zero
377,30.737864,36.359245,zero
378,34.89757,-62.851116,zero
379,46.70475,15.2667,zero
380,-24.606747,22.90415,zero
381,33.131382,-15.348188,zero
382,14.534815,-28.545135,zero
383,63.50279,4.9336905,zero
384,8.353807,-3.334758,zero
385,-19.417284,-2.5486128,zero
386,-4.7942257,-3.1560864,zero
387,50.294212,-26.120552,zero
388,39.126423,-8.572964,zero
389,45.36328,-50.638725,zero
390,63.83102,20.843615,zero
391,-9.713935,-2.7733605,zero
392,37.978035,-2.0606592,zero
393,-15.103798,-12.868891,zero
394,-48.96721,-28.409555,zero
395,0.24309987,10.550288,zero
396,23.711857,60.14238,zero
397,-44.77122,-11.97732,zero
398,70.954575,-16.739902,zero
399,-24.348732,-0.9660872,zero
400,63.751358,-2.5666857,zero
401,44.905987,11.231931,zero
402,-79.50858,15.8682575,zero
403,10.3580675,25.974329,zero
404,17.666744,-48.709633,zero
405,38.80659,2.1817584,zero
406,-0.28781292,-6.809884,zero
407,23.951761,3.4293182,zero
408,-85.80223,4.075001,zero
409,59.85711,-30.216005,zero
410,20.219196,-13.381836,zero
411,3.1166825,11.374659,zero
412,6.491433,1.7742183,zero
413,37.625927,-30.129486,zero
414,56.62004,-13.344482,zero
415,30.272608,66.6763,zero
416,49.815464,-41.20965,zero
417,40.562843,22.177614,zero
418,-10.634664,-7.782316,zero
419,16.024359,-2.7256343,zero
420,36.361423,3.592683,zero
421,-80.62091,15.447925,zero
422,49.019047,-56.410206,zero
423,35.41801,-55.827118,zero
424,66.98917,-29.055347,zero
425,40.75731,27.463816,zero
426,-16.064823,21.638453,zero
427,23.405865,-57.262096,zero
428,6.5932593,-5.643107,zero
429,-32.988743,39.77812,zero
430,1.0516773,31.864824,zero
431,-48.992058,-3.673781,zero
432,-19.407694,12.263027,zero
433,-38.292187,50.078754,zero
434,-80.66528,15.445619,zero
435,25.441397,30.615583,zero
436,-19.110992,21.718735,zero
437,29.637196,67.3443,zero
438,25.041927,11.306635,zero
439,-70.298134,-31.728565,zero
