,type,step,accuracy,loss
0,train,0,4.6875,2.303290605545044
1,train,1,14.0625,2.299805164337158
2,train,2,18.75,2.299962043762207
3,train,3,17.1875,2.2965569496154785
4,train,4,20.3125,2.2958080768585205
5,train,5,31.25,2.2889349460601807
6,train,6,20.3125,2.2918834686279297
7,train,7,25.0,2.2889039516448975
8,train,8,18.75,2.2890608310699463
9,train,9,29.6875,2.28709077835083
10,train,10,29.6875,2.2795448303222656
11,train,11,32.8125,2.274705410003662
12,train,12,17.1875,2.2836403846740723
13,train,13,17.1875,2.2847256660461426
14,train,14,32.8125,2.2718982696533203
15,train,15,31.25,2.270414113998413
16,train,16,28.125,2.274686813354492
17,train,17,18.75,2.2842490673065186
18,train,18,31.25,2.2699482440948486
19,train,19,26.5625,2.2695772647857666
20,train,20,29.6875,2.266406536102295
21,train,21,26.5625,2.2729849815368652
22,train,22,25.0,2.264357089996338
23,train,23,26.5625,2.269351005554199
24,train,24,20.3125,2.2728264331817627
25,train,25,32.8125,2.257133722305298
26,train,26,34.375,2.256718635559082
27,train,27,23.4375,2.262101411819458
28,train,28,29.6875,2.2516236305236816
29,train,29,35.9375,2.2412989139556885
30,train,30,34.375,2.2553184032440186
31,train,31,35.9375,2.2363247871398926
32,train,32,37.5,2.2465083599090576
33,train,33,35.9375,2.2413065433502197
34,train,34,29.6875,2.251338005065918
35,train,35,35.9375,2.248070240020752
36,train,36,50.0,2.2217307090759277
37,train,37,39.0625,2.245966911315918
38,train,38,37.5,2.2205095291137695
39,train,39,25.0,2.250063419342041
40,train,40,46.875,2.2171430587768555
41,train,41,43.75,2.212393283843994
42,train,42,37.5,2.231447219848633
43,train,43,43.75,2.215104103088379
44,train,44,37.5,2.220249891281128
45,train,45,34.375,2.225278615951538
46,train,46,48.4375,2.2047982215881348
47,train,47,51.5625,2.2098255157470703
48,train,48,45.3125,2.2029292583465576
49,train,49,43.75,2.2060115337371826
50,train,50,40.625,2.198317527770996
51,train,51,31.25,2.2288877964019775
52,train,52,50.0,2.1855247020721436
53,train,53,45.3125,2.1918833255767822
54,train,54,42.1875,2.191540479660034
55,train,55,48.4375,2.1756629943847656
56,train,56,32.8125,2.2092108726501465
57,train,57,53.125,2.142979860305786
58,train,58,53.125,2.15598726272583
59,train,59,51.5625,2.1391711235046387
60,train,60,40.625,2.176131010055542
61,train,61,40.625,2.169983386993408
62,train,62,48.4375,2.1335294246673584
63,train,63,43.75,2.1444194316864014
64,train,64,31.25,2.1843225955963135
65,train,65,48.4375,2.17061185836792
66,train,66,64.0625,2.0986835956573486
67,train,67,40.625,2.1612637042999268
68,train,68,39.0625,2.159508228302002
69,train,69,39.0625,2.1654961109161377
70,train,70,45.3125,2.1374964714050293
71,train,71,42.1875,2.143519878387451
72,train,72,50.0,2.1233627796173096
73,train,73,54.6875,2.095766544342041
74,train,74,46.875,2.1342101097106934
75,train,75,39.0625,2.1437935829162598
76,train,76,42.1875,2.146576404571533
77,train,77,43.75,2.1323907375335693
78,train,78,43.75,2.1119768619537354
79,train,79,45.3125,2.131084680557251
80,train,80,48.4375,2.0973267555236816
81,train,81,51.5625,2.107672929763794
82,train,82,57.8125,2.059406042098999
83,train,83,53.125,2.0772299766540527
84,train,84,43.75,2.131782293319702
85,train,85,56.25,2.0667550563812256
86,train,86,59.375,2.05157732963562
87,train,87,42.1875,2.135254144668579
88,train,88,51.5625,2.0764479637145996
89,train,89,51.5625,2.067561626434326
90,train,90,48.4375,2.070986032485962
91,train,91,54.6875,2.0395758152008057
92,train,92,37.5,2.137392520904541
93,train,93,43.75,2.115804672241211
94,train,94,51.5625,2.0722126960754395
95,train,95,45.3125,2.06691312789917
96,train,96,46.875,2.065077304840088
97,train,97,50.0,2.0732641220092773
98,train,98,62.5,2.0082013607025146
99,train,99,57.8125,2.023000717163086
100,train,100,60.9375,1.9989793300628662
101,train,101,54.6875,2.038245677947998
102,train,102,53.125,2.0548720359802246
103,train,103,46.875,2.0935885906219482
104,train,104,54.6875,2.0364556312561035
105,train,105,56.25,2.038552761077881
106,train,106,67.1875,1.98464834690094
107,train,107,64.0625,2.0003271102905273
108,train,108,51.5625,2.0425634384155273
109,train,109,54.6875,2.032710552215576
110,train,110,42.1875,2.085564136505127
