,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,speech-commands-random,restnet50,N/A,N/A,92.11796946365654,7.882030536343464,0.0,25587062
1,speech-commands-random,restnet50,N/A,doing_the_dishes,74.9380138327026,25.061986167297405,10.0,25587062
2,speech-commands-random,restnet50,Tent Adaptation + normalized,doing_the_dishes,81.9065640088738,18.0934359911262,10.0,25587062
3,speech-commands-random,restnet50,Norm Adaptation + normalized,doing_the_dishes,77.41093566488321,22.589064335116788,10.0,25587062
4,speech-commands-random,restnet50,N/A,exercise_bike,71.5842359389273,28.415764061072693,10.0,25587062
5,speech-commands-random,restnet50,Tent Adaptation + normalized,exercise_bike,80.60159206577059,19.39840793422941,10.0,25587062
6,speech-commands-random,restnet50,Norm Adaptation + normalized,exercise_bike,74.8531906564009,25.146809343599102,10.0,25587062
7,speech-commands-random,restnet50,N/A,running_tap,74.37687589716822,25.62312410283178,10.0,25587062
8,speech-commands-random,restnet50,Tent Adaptation + normalized,running_tap,82.2654312932272,17.734568706772805,10.0,25587062
9,speech-commands-random,restnet50,Norm Adaptation + normalized,running_tap,77.22823959284875,22.77176040715125,10.0,25587062
