Step,DD-10dB-no_nm,DD-10dB-no_cst,DD-10dB-no_pl,DD-10dB-org,EB-10dB-no_nm,EB-10dB-no_cst,EB-10dB-no_pl,EB-10dB-org,RT-10dB-no_nm,RT-10dB-no_cst,RT-10dB-org,RT-10dB-no_pl,RT-10dB-upd,EB-10dB-upd,DD-10dB-upd
0,87.31528895391368,88.79297732260424,88.77834674,88.52962692026335,86.89100219458669,89.18800292611559,89.36356986100951,88.80760790051208,87.41770299926847,89.83174835405998,89.65618141916606,89.80248719824434,90.31455743,89.56839795171909,89.58302852962692
1,59.78054133138259,90.22677395757133,90.18288222384784,89.72933430870519,46.730065837600584,90.82662765179225,90.89978054133138,90.44623262618873,40.77542062911485,91.06071689831748,90.47549378200439,91.06071689831748,91.86539868324799,91.16313094367227,90.78273591806877
2,26.18873445501097,90.29992684711046,90.24140453547915,89.48061448427212,4.754937820043892,90.73884418434528,90.85588881,90.19751280175568,6.335040234089247,90.85588881,90.25603511338699,91.07534748,91.93855157278713,91.13386978785663,90.89978054133138
3,14.235552304316021,90.27066569129481,90.27066569129481,89.37820043891733,4.038039502560351,90.82662765179225,90.73884418434528,90.15362106803218,4.711046086,90.56327724945136,90.00731528895392,90.85588881,91.85076810534017,91.42648134601316,91.11923920994879
4,5.193855157278712,90.22677395757133,90.38771031455742,89.37820043891733,4.052670080468179,90.76810534016093,90.95830285296269,89.89027066569129,4.038039502560351,91.00219458668617,90.22677395757133,91.19239209948793,91.93855157278713,91.57278712509144,91.14850036576445
5,3.847841989758596,90.22677395757133,90.59253841,89.42209217264082,3.862472567666423,90.73884418434528,90.98756400877835,89.97805413313826,3.7454279444038043,90.82662765179225,90.06583760058521,91.23628383,91.89465983906364,91.51426481346013,91.22165325530358
6,3.789319678127286,90.08046817849305,90.34381858083394,89.61228968544258,3.8332114118507685,90.69495245,90.89978054133138,89.68544257,3.6576444769568397,90.51938551572786,89.87564008778347,90.89978054133138,91.85076810534017,91.57278712509144,91.25091441111924
7,3.818580833942941,90.32918800292612,90.65106071689831,89.62692026335041,3.7600585223116316,90.76810534016093,90.91441111923922,89.68544257,3.6576444769568397,90.62179956108267,90.06583760058521,91.14850036576445,91.88002926115581,91.54352596927579,91.16313094367227
8,3.8332114118507685,90.27066569129481,90.43160204828091,89.37820043891733,3.7161667885881497,90.70958302852962,91.04608632040966,89.71470373079737,3.5698610095098755,90.69495245,90.00731528895392,91.32406730065837,91.89465983906364,91.60204828,91.35332845647403
9,3.8332114118507685,90.10972933430871,90.35844915874178,89.56839795171909,3.7161667885881497,90.60716898317483,90.75347476,89.45135332845648,3.789319678127286,90.41697147037307,89.87564008778347,91.16313094367227,91.79224579370884,91.55815654718361,91.30943672275055
10,3.847841989758596,90.05120702267739,90.22677395757133,89.20263350402341,3.6576444769568397,90.43160204828091,90.75347476,89.40746159,3.847841989758596,90.57790782735918,89.91953182150695,91.14850036576445,91.88002926115581,91.57278712509144,91.29480614484272
11,3.8332114118507685,90.05120702267739,90.40234089246525,89.40746159,3.5405998536942205,90.49012435991222,90.94367227505487,89.45135332845648,3.906364301389905,90.70958302852962,89.96342355523042,91.35332845647403,91.96781272860278,91.67520117044623,91.30943672275055
12,3.8039502560351135,90.13899049012436,90.32918800292612,89.29041697147038,3.4089246525237744,90.43160204828091,90.84125822970007,89.33430870519385,3.6137527432333574,90.40234089246525,89.65618141916606,91.17776152158011,91.85076810534017,91.67520117044623,91.26554498902706
13,3.7600585223116316,90.06583760058521,90.34381858083394,88.93928310168252,3.4089246525237744,90.27066569129481,90.87051938551572,89.04169714703731,3.3504023408924652,90.31455743,89.58302852962692,91.16313094367227,91.79224579370884,91.57278712509144,91.23628383
14,3.7454279444038043,90.03657644476957,90.38771031455742,89.20263350402341,3.3211411850768107,90.35844915874178,90.85588881,89.26115581565472,5.208485735,90.32918800292612,89.50987564008778,91.08997805413314,91.79224579370884,91.60204828,91.25091441111924
15,3.7454279444038043,90.08046817849305,90.28529626920263,88.95391367959034,3.394294074615947,90.22677395757133,90.78273591806877,88.93928310168252,5.164594001463057,90.44623262618873,89.43672275054865,91.06071689831748,91.77761521580102,91.55815654718361,91.22165325530358
16,3.7454279444038043,90.02194586686174,90.44623262618873,89.15874177029993,3.4089246525237744,90.28529626920263,90.75347476,88.95391367959034,5.384052670080468,90.28529626920263,89.68544257,91.04608632040966,91.71909290416971,91.49963424,91.36795903438187
17,3.701536210680322,89.94879298,90.40234089246525,88.95391367959034,3.3650329188002925,90.16825164594002,90.85588881,88.80760790051208,5.735186539868325,90.13899049012436,89.34893928310169,90.89978054133138,91.83613752743234,91.42648134601316,91.28017557
18,3.6869056327724943,89.90490124359913,90.25603511338699,88.88076079,3.3650329188002925,90.06583760058521,90.88514996342354,88.85149963423555,5.574250182882224,90.16825164594002,89.20263350402341,91.00219458668617,91.71909290416971,91.51426481346013,91.17776152158011
19,3.7161667885881497,89.74396488661303,90.16825164594002,88.82223848,3.335771762984638,90.00731528895392,90.59253841,88.55888808,2.8675932699341624,90.06583760058521,88.98317484,91.01682516459401,91.71909290416971,91.45574250182882,91.20702267739576
20,3.701536210680322,89.78785662,90.27066569129481,88.89539136795904,3.379663497,89.99268471,90.69495245,88.63204096561815,2.692026335040234,89.96342355523042,88.79297732260424,90.91441111923922,91.82150694952452,91.44111192,91.16313094367227
,,,,,,,,,,,,,91.68983174835405,91.41185076810534,91.29480614484272
,,,,,,,,,,,,,91.67520117044623,91.57278712509144,91.25091441111924
,,,,,,,,,,,,,91.63130943672274,91.48500365764448,91.26554498902706
,,,,,,,,,,,,,91.76298464,91.39722019019752,91.32406730065837
,,,,,,,,,,,,,91.61667885881492,91.39722019019752,91.28017557
,,,,,,,,,,,,,91.66057059,91.49963424,91.29480614484272
,,,,,,,,,,,,,91.66057059,91.49963424,91.26554498902706
,,,,,,,,,,,,,91.52889539136795,91.45574250182882,91.28017557
,,,,,,,,,,,,,91.54352596927579,91.36795903438187,91.29480614484272
,,,,,,,,,,,,,91.57278712509144,91.36795903438187,91.30943672275055
