Step,DD-10dB-no_nm,DD-10dB-no_cst,DD-10dB-no_pl,DD-10dB-org,EB-10dB-no_nm,EB-10dB-no_cst,EB-10dB-no_pl,EB-10dB-org,RT-10dB-no_nm,RT-10dB-no_cst,RT-10dB-org,RT-10dB-no_pl,RT-10dB-upd,EB-10dB-upd,DD-10dB-upd
0,3.057466615253771,3.0868961943637037,0,3.0846124506192587,3.0291269170426425,3.069123607391203,0,3.065923705452205,3.0297984198575287,3.071953708681982,3.0685246839000024,0,0.2360078711128256,0.2356440500037071,0.23461720532357272
1,3.0258069916720123,3.3461290765816054,0,3.328807119437507,2.954947178037793,3.348405132761024,0,3.3290541796407234,2.926465059180215,3.3566428602021623,3.337825519937865,0,0.19332042437794447,0.1940375406015227,0.1948568544475178
2,2.571975359334632,3.4285161189490077,0,3.398149736890211,2.4474118412100654,3.431274916784304,0,3.400587632,2.391862036756507,3.440915009645229,3.411074823966608,0,0.15305317803056465,0.1559947512414254,0.16237461421323915
3,2.4144060253887107,3.480707978,0,3.437284511369719,2.3329925876408115,3.4768838645286966,0,3.434608908186496,2.3383264075702344,3.488382667373044,3.4455938308451657,0,0.1374357614716506,0.1414902203010194,0.14406505684114712
4,2.3475026834248935,3.5156912227191834,0,3.463351744021608,2.3543587155605143,3.5140904112600944,0,3.463938489486354,2.3518636569100924,3.5199621141376634,3.473359075,0,0.13121911420207033,0.1292263306190911,0.13482517296636362
5,2.3192787892731705,3.548777544162643,0,3.4927877531924714,2.3601810679609225,3.544402049,0,3.488733604,2.3604622005786693,3.549745009049004,3.5008800683866643,0,0.1237482465273469,0.12456783714667051,0.12706526286764497
6,2.3276580418919175,3.566709764196839,0,3.5077185313186736,2.3547610661513367,3.563091545387613,0,3.503659621160914,2.358841999245921,3.559862984947755,3.5065668149733207,0,0.11703817362671919,0.11687395739491521,0.1202967393369427
7,2.335938029515911,3.58631593,0,3.5228414084989703,2.347013453117839,3.5769458842669293,0,3.5126120813995456,2.3517096109093636,3.5762986211989407,3.5212488346536395,0,0.11328414631537446,0.11363059041547227,0.11731167852675253
8,2.335325706347893,3.6032178609723777,0,3.5343223561843238,2.3400171673004055,3.5954902097233026,0,3.5261326482598214,2.341481591159469,3.5930322876698533,3.536096218746033,0,0.10912369446448562,0.10809679961098716,0.11172619151736353
9,2.334586154022407,3.622974479842074,0,3.5530579167072767,2.332567934279151,3.6098984468011226,0,3.5396361697307777,2.3259272702702893,3.6048296996405425,3.5477781974373848,0,0.10597255431277405,0.10571108675701762,0.10712869756935961
