,dataset,algorithm,tta-operation,corruption,accuracy,error,severity level,number of weight
0,speech-commands,restnet50,N/A,N/A,87.62253108997805,12.377468910021946,0.0,25587062
1,speech-commands,restnet50,N/A,doing_the_dishes,66.55449890270665,33.445501097293345,10.0,25587062
2,speech-commands,restnet50,Tent Adaptation + normalized + offline,doing_the_dishes,10.343818580833943,89.65618141916606,10.0,25587062
3,speech-commands,restnet50,Norm Adaptation + normalized + offline,doing_the_dishes,18.1272860277981,81.8727139722019,10.0,25587062
4,speech-commands,restnet50,N/A,exercise_bike,62.42867593269934,37.57132406730066,10.0,25587062
5,speech-commands,restnet50,Tent Adaptation + normalized + offline,exercise_bike,10.709583028529627,89.29041697147038,10.0,25587062
6,speech-commands,restnet50,Norm Adaptation + normalized + offline,exercise_bike,16.269202633504023,83.73079736649598,10.0,25587062
7,speech-commands,restnet50,N/A,running_tap,65.45720555961961,34.54279444038039,10.0,25587062
8,speech-commands,restnet50,Tent Adaptation + normalized + offline,running_tap,11.046086320409657,88.95391367959034,10.0,25587062
9,speech-commands,restnet50,Norm Adaptation + normalized + offline,running_tap,17.27871250914411,82.72128749085589,10.0,25587062
